source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
alonhadat,rent_all,alonhadat_16324418,alonhadat_16324418,"Cho thuê nhà mặt tiền 225 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3,TP Hồ Chí Minh dt: 9x27m",250000000,Giá: 250 triệu / tháng,243,NA,"Đường Hai Bà Trưng, Phường Xuân Hòa, Hồ Chí Minh

Đường Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh (cũ)",Phường Xuân Hòa,NA,Quận 3,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/4/17/thumbnails/016324418-4623-cho-thue-nha-mat-tien-225-hai-ba-trung-phuong-vo-thi-sau-quan-3-tp-ho-chi-minh-dt-9x27m.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-225-hai-ba-trung-phuong-vo-thi-sau-quan-3-tp-ho-chi-minh-dt-9x27m-16324418.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.448174,4,250,1028806.58436214,0,1
alonhadat,rent_all,alonhadat_16495593,alonhadat_16495593,"Cho thuê nhà mặt tiền 149 Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh,TP Hồ Chí Minh",130000000,Giá: 130 triệu / tháng,200,NA,"Đường Nguyễn Cửu Vân, Phường Gia Định, Hồ Chí Minh

Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh (cũ)",Phường Gia Định,NA,Quận Bình Thạnh,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/13/thumbnails/016495593-4209-cho-thue-nha-mat-tien-quan-binh-thanh-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-149-nguyen-cuu-van-phuong-17-quan-binh-thanh-tp-ho-chi-minh-16495593.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.436768,4,130,650000,0,1
alonhadat,rent_all,alonhadat_16462063,alonhadat_16462063,"Cho thuê nhà mặt tiền số 5 Đặng Tất, Phường Tân Định, Quận 1,TP Hồ Chí Minh dt:14x25m",300000000,Giá: 300 triệu / tháng,350,NA,"Đường Đặng Tất, Phường Tân Định, Hồ Chí Minh

Đường Đặng Tất, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)",Phường Tân Định,NA,Quận 1,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/8/thumbnails/016462063-0045-cho-thue-nha-mat-tien-ho-chi-minh-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-so-5-dang-tat-phuong-tan-dinh-quan-1-tp-ho-chi-minh-dt-14x25m-16462063.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.425522,4,300,857142.8571428572,0,1
alonhadat,rent_all,alonhadat_16554194,alonhadat_16554194,"Cho thuê nhà mặt tiền 176 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh,TP Hồ Chí Minh",170000000,Giá: 170 triệu / tháng,120,NA,"Đường Nguyễn Gia Trí, Phường Thạnh Mỹ Tây, Hồ Chí Minh

Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Hồ Chí Minh (cũ)",Phường Thạnh Mỹ Tây,NA,Quận Bình Thạnh,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/21/thumbnails/016554194-3301-cho-thue-nha-mat-tien-ho-chi-minh.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-176-nguyen-gia-tri-phuong-25-quan-binh-thanh-tp-ho-chi-minh-16554194.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.412702,4,170,1416666.6666666667,0,1
alonhadat,rent_all,alonhadat_16554295,alonhadat_16554295,"Cho thuê nhà mặt tiền số 103 đường Bạch Đằng, Phường 2, Quận Tân Bình,TP Hồ Chí Minh",300000000,Giá: 300 triệu / tháng,196,NA,"Đường Bạch Đằng, Phường Tân Sơn Hòa, Hồ Chí Minh

Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh (cũ)",Phường Tân Sơn Hòa,NA,Quận Tân Bình,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/21/thumbnails/016554295-4508-cho-thue-nha-mat-tien-ho-chi-minh-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-so-103-duong-bach-dang-phuong-2-quan-tan-binh-tp-ho-chi-minh-16554295.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.401425,4,300,1530612.2448979593,0,1
alonhadat,rent_all,alonhadat_16586900,alonhadat_16586900,"Cho thuê nhà mặt tiền 53-55 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1,TP Hồ Chí Minh",1800000000,"Giá: 1,8 tỷ / tháng",432,NA,"Đường Phó Đức Chính, Phường Sài Gòn, Hồ Chí Minh

Đường Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh (cũ)",Phường Sài Gòn,NA,Quận 1,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/26/thumbnails/016586900-3838-cho-thue-nha-mat-tien-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-53-55-pho-duc-chinh-phuong-nguyen-thai-binh-quan-1-tp-ho-chi-minh-16586900.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.390129,4,1800,4166666.6666666665,0,1
alonhadat,rent_all,alonhadat_16594019,alonhadat_16594019,"Cho thuê nhà mặt tiền 9-11 Nguyễn Văn Thủ, Phường Đakao, Quận 1,TP Hồ Chí Minh DT:8,5X19M",300000000,Giá: 300 triệu / tháng,1615,NA,"Đường Nguyễn Văn Thủ, Phường Tân Định, Hồ Chí Minh

Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh (cũ)",Phường Tân Định,NA,Quận 1,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/27/thumbnails/016594019-4151-cho-thue-nha-mat-tien-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-9-11-nguyen-van-thu-phuong-dakao-quan-1-tp-ho-chi-minh-dt-8-5x19m-16594019.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.377181,4,300,185758.51393188853,0,1
alonhadat,rent_all,alonhadat_16616244,alonhadat_16616244,"Cho thuê nhà mặt tiền 35A Trần Đình Xu, Phường Cầu Kho, Quận 1,TP Hồ Chí Minh DT:8X20M",160000000,Giá: 160 triệu / tháng,160,NA,"Đường Trần Đình Xu, Phường Cầu Ông Lãnh, Hồ Chí Minh

Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh (cũ)",Phường Cầu Ông Lãnh,NA,Quận 1,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/30/thumbnails/016616244-4113-cho-thue-nha-mat-tien-ho-chi-minh.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-35a-tran-dinh-xu-phuong-cau-kho-quan-1-tp-ho-chi-minh-dt-8x20m-16616244.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.365699,4,160,1000000,0,1
alonhadat,rent_all,alonhadat_16616369,alonhadat_16616369,"Cho thuê nhà mặt tiền số 91C đường Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",180000000,Giá: 180 triệu / tháng,110,NA,"Đường Hàm Nghi, Phường Sài Gòn, Hồ Chí Minh

Đường Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh (cũ)",Phường Sài Gòn,NA,Quận 1,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/5/30/thumbnails/016616369-5542-cho-thue-nha-mat-tien-ho-chi-minh.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-so-91c-duong-ham-nghi-phuong-nguyen-thai-binh-quan-1-ho-chi-minh-16616369.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.354407,4,180,1636363.6363636365,0,1
alonhadat,rent_all,alonhadat_16711750,alonhadat_16711750,"Cho thuê nhà mặt tiền 17A Hồ Xuân Hương, Phường Võ Thị Sáu, Quận 3,TP Hồ Chí Minh",400000000,Giá: 400 triệu / tháng,240,NA,"Đường Hồ Xuân Hương, Phường Xuân Hòa, Hồ Chí Minh

Đường Hồ Xuân Hương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh (cũ)",Phường Xuân Hòa,NA,Quận 3,1030,Văn phòng/Mặt bằng,NA,NA,https://alonhadat.com.vn/files/properties/2025/6/13/thumbnails/016711750-0555-cho-thue-nha-trong-hem-quan-3-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-17a-ho-xuan-huong-phuong-vo-thi-sau-quan-3-tp-ho-chi-minh-16711750.html,https://alonhadat.com.vn/cho-thue-nha-dat/ho-chi-minh/trang-4,2026-05-16,2026-05-16 16:54:46.341567,4,400,1666666.6666666667,0,1
