source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent,frontage_width_m,frontage_length_m,frontage_ratio,inferred_floors,inferred_rooms,title_has_frontage,title_has_alley,title_has_car_access,title_has_corner,title_has_elevator,title_has_furnished,title_has_legal,title_has_income_info,title_token_count,has_area,has_rooms,transaction_type,ward_median_price,ward_listing_count,log_price,log_area,log_price_per_m2,distance_to_center,ward_price_encoded,listing_age_days,posted_hour,posted_wday,is_weekend_post,price_segment
mogi,ban,mogi_21796402,21796402,Bán căn hộ Kingdom19 2PN- 2WC có ban công full nội thất giá 5.5 tỷ,5200000000,5 tỷ 200 triệu,79,2,"Tô Hiến Thành, Phường 14, Quận 10, TPHCM",Phường 14,NA,Quận 10,1010,Căn hộ,10.770446,106.6235628,NA,https://mogi.vn/quan-10/mua-can-ho-chung-cu/ban-can-ho-kingdom19-2pn-2wc-co-ban-cong-full-noi-that-gia-5-5-ty-id21796402,https://mogi.vn/quan-10/mua-can-ho-chung-cu/ban-can-ho-kingdom19-2pn-2wc-co-ban-cong-full-noi-that-gia-5-5-ty-id21796402,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,5200,65822784.81012658,TRUE,FALSE,5.5,20,0.3125,3.5,2,0,0,0,0,0,1,0,0,25,TRUE,TRUE,Bán,2565000000,487,22.3719244627261,4.382026634673881,18.002476625259078,8.468889495545726,21.66522431595901,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22692913,22692913,"Bán toà nhà MT Tôn Đức Thắng, P Bến Nghé, Q1, DT 8 x 20m, HĐT 310 triệ",223000000000,223 tỷ,160,8,"Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TPHCM",Phường Bến Nghé,NA,Quận 1,1020,Nhà phố,10.7811203,106.70469284499995,NA,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mt-ton-duc-thang-p-ben-nghe-q1-dt-8-x-20m-hdt-310-trie-id22692913,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mt-ton-duc-thang-p-ben-nghe-q1-dt-8-x-20m-hdt-310-trie-id22692913,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,223000,1393750000,TRUE,FALSE,8,20,0.4,3.5,8,1,0,0,0,0,0,0,0,29,TRUE,TRUE,Bán,4220000000,164,26.130437608411015,5.081404364984463,21.05526379389019,0.7222377810619826,22.163100965231298,5.446820485302144,0,Fri,FALSE,Cao cap
mogi,ban,mogi_22742766,22742766,BÁN NHÀ 4 TẦNG HẺM Phường BÌNH TRƯNG QUẬN 2 ngang 4.7m giá có tl,7999000000,7 tỷ 999 triệu,50,4,"Đường số 5, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",Phường Bình Trưng Tây,NA,Thành phố Thủ Đức,1020,Nhà phố,10.783041475,106.75634003000005,NA,https://mogi.vn/quan-2/mua-nha-hem-ngo/ban-nha-4-tang-hem-phuong-binh-trung-quan-2-ngang-4-7m-gia-co-tl-id22742766,https://mogi.vn/quan-2/mua-nha-hem-ngo/ban-nha-4-tang-hem-phuong-binh-trung-quan-2-ngang-4-7m-gia-co-tl-id22742766,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,7999,159980000,TRUE,FALSE,5.5,20,0.3125,4,4,0,1,0,0,0,0,0,0,30,TRUE,TRUE,Bán,2678000000,69,22.80258237093811,3.9318256327243257,18.89055937163573,6.109169603999799,21.708336084588804,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22741358,22741358,Bán Lô Đất Nền Mặt Tiền Đường Số 16 Khu Dự Án Nam Long P.Phước Long B,9700000000,9 tỷ 700 triệu,90,0,"Đường số 16, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",Phường Phước Long A,NA,Thành phố Thủ Đức,1040,Đất nền,NA,NA,NA,https://mogi.vn/quan-9/mua-dat-tho-cu/ban-lo-dat-nen-mat-tien-duong-so-16-khu-du-an-nam-long-p-phuoc-long-b-id22741358,https://mogi.vn/quan-9/mua-dat-tho-cu/ban-lo-dat-nen-mat-tien-duong-so-16-khu-du-an-nam-long-p-phuoc-long-b-id22741358,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,9700,107777777.77777778,FALSE,FALSE,5.5,20,0.3125,3.5,0,1,0,0,0,0,0,0,0,32,TRUE,TRUE,Bán,6000000000,21,22.995391722558843,4.51085950651685,18.495582061403834,6.4732770569965385,22.515025306341133,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22742346,22742346,Bán Lô Đất 115m2 Đường 26 Linh Đông Cách Vành Đai 2 Chỉ 20m,7650000000,7 tỷ 650 triệu,115,0,"Đường số 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM",Phường Linh Đông,NA,Thành phố Thủ Đức,1040,Đất nền,10.84685469,106.74584198000002,NA,https://mogi.vn/quan-thu-duc/mua-dat-tho-cu/ban-lo-dat-115m2-duong-26-linh-dong-cach-vanh-dai-2-chi-20m-id22742346,https://mogi.vn/quan-thu-duc/mua-dat-tho-cu/ban-lo-dat-115m2-duong-26-linh-dong-cach-vanh-dai-2-chi-20m-id22742346,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,7650,66521739.13043478,TRUE,FALSE,5.5,20,0.3125,3.5,0,0,0,0,0,0,0,0,0,29,TRUE,TRUE,Bán,55000000,41,22.757971484915576,4.7535901911063645,18.013039371454287,9.30156368957456,17.822843761378564,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22692909,22692909,"Rẻ nhất cung đường, bán villa đẹp MT Nguyễn Ư Dĩ, TP Thủ Đức, DT 17,5",62000000000,62 tỷ,339,3,"Nguyễn Ư Dĩ, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",Phường Thảo Điền,NA,Thành phố Thủ Đức,1020,Nhà phố,10.809147835,106.73532104500008,NA,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/re-nhat-cung-duong-ban-villa-dep-mt-nguyen-u-di-tp-thu-duc-dt-17-5-id22692909,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/re-nhat-cung-duong-ban-villa-dep-mt-nguyen-u-di-tp-thu-duc-dt-17-5-id22692909,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,62000,182890855.45722714,TRUE,FALSE,5.5,20,0.3125,3.5,3,1,0,0,0,0,0,0,0,30,TRUE,TRUE,Bán,91000000,319,24.850400222007632,5.8289456176102075,19.024400120078795,5.280697255902458,18.326370075470134,5.446820485302144,0,Fri,FALSE,Cao cap
mogi,ban,mogi_22741359,22741359,Bán Đất Mặt Tiền Đường Lê Văn Thịnh P.Bình Trưng Quận 2.,79500000000,79 tỷ 500 triệu,750,0,"Lê Văn Thịnh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",Phường Bình Trưng Tây,NA,Thành phố Thủ Đức,1040,Đất nền,NA,NA,NA,https://mogi.vn/quan-2/mua-dat-tho-cu/ban-dat-mat-tien-duong-le-van-thinh-p-binh-trung-quan-2-id22741359,https://mogi.vn/quan-2/mua-dat-tho-cu/ban-dat-mat-tien-duong-le-van-thinh-p-binh-trung-quan-2-id22741359,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,79500,106000000,FALSE,FALSE,5.5,20,0.3125,3.5,0,1,0,0,0,0,0,0,0,27,TRUE,TRUE,Bán,2678000000,69,25.099022858619275,6.621405651764134,18.478949661510303,6.4732770569965385,21.708336084588804,5.446820485302144,0,Fri,FALSE,Cao cap
mogi,ban,mogi_22715376,22715376,"Bán nhà cấp 4, xây móng băng ngay 512/14 đường Nguyễn Văn Tạo, Nhà Bè",5800000000,5 tỷ 800 triệu,80,1,"Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, TPHCM",Xã Long Thới,NA,Huyện Nhà Bè,1020,Nhà phố,10.65130043,106.72479629500005,NA,https://mogi.vn/huyen-nha-be/mua-duong-noi-bo/ban-nha-cap-4-xay-mong-bang-ngay-512-14-duong-nguyen-van-tao-nha-be-id22715376,https://mogi.vn/huyen-nha-be/mua-duong-noi-bo/ban-nha-cap-4-xay-mong-bang-ngay-512-14-duong-nguyen-van-tao-nha-be-id22715376,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,5800,72500000,TRUE,FALSE,5.5,20,0.3125,3.5,1,0,0,0,0,0,0,0,0,27,TRUE,TRUE,Bán,5600000000,17,22.4811237546712,4.394449154672439,18.099097133618006,14.087761616419941,22.446032434866087,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22732456,22732456,"Bán Nhà 1 Trệt 1 Lầu, HXH Đường Số 2 Tăng Nhơn Phú B, Quận 9",4800000000,4 tỷ 800 triệu,54,2,"Đường số 2, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), TPHCM",Phường Tăng Nhơn Phú B,NA,Thành phố Thủ Đức,1020,Nhà phố,10.82986641,106.78774261499996,NA,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-1-tret-1-lau-hxh-duong-so-2-tang-nhon-phu-b-quan-9-id22732456,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-1-tret-1-lau-hxh-duong-so-2-tang-nhon-phu-b-quan-9-id22732456,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,4800,88888888.8888889,TRUE,FALSE,5.5,20,0.3125,1,2,0,1,1,0,0,0,0,0,32,TRUE,TRUE,Bán,6600000000,52,22.29188175506859,4.007333185232471,18.30289771954598,11.230070111337165,22.610335486130307,5.446820485302144,0,Fri,FALSE,Cao
mogi,ban,mogi_22670258,22670258,"175 tỷ giảm sâu về 155 tỷ, bán gấp nhà góc 3MT Nguyễn Trãi,P Bến Thành",155000000000,155 tỷ,164,7,"Nguyễn Trãi, Phường Bến Thành, Quận 1, TPHCM",Phường Bến Thành,NA,Quận 1,1020,Nhà phố,10.827997518904857,106.63719884765624,NA,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/175-ty-giam-sau-ve-155-ty-ban-gap-nha-goc-3mt-nguyen-trai-p-ben-thanh-id22670258,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/175-ty-giam-sau-ve-155-ty-ban-gap-nha-goc-3mt-nguyen-trai-p-ben-thanh-id22670258,2026-06-05T00:00:00Z,2026-06-07T20:42:01Z,NA,155000,945121951.2195122,TRUE,FALSE,5.5,20,0.3125,3.5,7,0,0,0,1,0,0,0,0,26,TRUE,TRUE,Bán,60000000000,154,25.76669095387211,5.10594547390058,20.666824527099525,9.060776567441245,24.817610399185178,5.446820485302144,0,Fri,FALSE,Cao cap
