source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
alonhadat,sale_student_csv,alonhadat_duc_18758443,18758443,"LÔ ĐẤT BIỆT THỰ ĐƯỜNG SỐ 22- KDC BÌNH HƯNG -ĐỐI DIỆN QUỐC TẾ ANH NGỮ - 175.5M2 - 15,5 TỶ",15500000000,"15,5 tỷ",176,1,"Đường số 22, Xã Bình Hưng, Hồ Chí Minh",Xã Bình Hưng,,Huyện Bình Chánh,1020,Biệt thự,,,,https://alonhadat.com.vn/lo-dat-biet-thu-duong-so-22-kdc-binh-hung-doi-dien-quoc-te-anh-ngu-175-5m2-15-5-ty-18758443.html,https://alonhadat.com.vn/lo-dat-biet-thu-duong-so-22-kdc-binh-hung-doi-dien-quoc-te-anh-ngu-175-5m2-15-5-ty-18758443.html,2026-06-07,2026-06-07 20:16:10.418495,,15500,88068181.81818181,0,0
alonhadat,sale_student_csv,alonhadat_duc_18566745,18566745,CĂN HỘ CHUNG CƯ HOÀNG QUÂN BÌNH CHÁNH -SỔ RIÊNG - SÁT CHỢ BÌNH ĐIỀN -NHỈNH 1 TỶ,1600000000,"1,6 tỷ",51,2,"Đường Nguyễn Văn Linh, Xã Bình Chánh, Hồ Chí Minh",Xã An Phú Tây,,Huyện Bình Chánh,1010,Căn hộ chung cư,,,,https://alonhadat.com.vn/can-ho-chung-cu-hoang-quan-binh-chanh-so-rieng-sat-cho-binh-dien-nhinh-1-ty-18566745.html,https://alonhadat.com.vn/can-ho-chung-cu-hoang-quan-binh-chanh-so-rieng-sat-cho-binh-dien-nhinh-1-ty-18566745.html,2026-06-07,2026-06-07 20:16:10.418495,,1600,31372549.019607842,0,0
alonhadat,sale_student_csv,alonhadat_duc_18261891,18261891,🔥🔥🔥Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 930Triệu - 120m2,930000000,930 triệu,120,3,"Đường Trịnh Như Khuê, Xã Bình Chánh, Hồ Chí Minh",Xã Bình Chánh,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,2026-06-07,2026-06-07 20:16:10.418495,,930,7750000,0,0
alonhadat,sale_student_csv,alonhadat_duc_18406372,18406372,"Chính chủ gửi căn nhà 4 tầng, 5x19 – Cơ hội sở hữu không gian sống yên tĩnh nhất khu vực..",8990000000,"8,99 tỷ",95,5,"Đường số 5, Xã Bình Hưng, Hồ Chí Minh",Xã Phong Phú,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/ban-gap-nha-dep-4-tang-phong-phu-binh-chanh-5x19m-duong-20m-nhinh-9-ty-18406372.html,https://alonhadat.com.vn/ban-gap-nha-dep-4-tang-phong-phu-binh-chanh-5x19m-duong-20m-nhinh-9-ty-18406372.html,2026-06-07,2026-06-07 20:16:10.418495,,8990,94631578.94736843,0,0
alonhadat,sale_student_csv,alonhadat_duc_18442252,18442252,"115m2( 6,8x17) Bán nhà 3 lầu Mặt tiền đường số 8 gần chợ Hiệp Bình Chánh. 17,55 tỷ",17550000000,"17,55 tỷ",115,4,"Đường Số 8, Phường Hiệp Bình, Hồ Chí Minh",Phường Hiệp Bình Chánh,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/115m2-6-8x17-ban-nha-3-lau-mat-tien-duong-so-8-gan-cho-hiep-binh-chanh-17-55-ty-18442252.html,https://alonhadat.com.vn/115m2-6-8x17-ban-nha-3-lau-mat-tien-duong-so-8-gan-cho-hiep-binh-chanh-17-55-ty-18442252.html,2026-06-07,2026-06-07 20:16:10.418495,,17550,152608695.6521739,0,0
alonhadat,sale_student_csv,alonhadat_duc_18164392,18164392,Mặt Tiền 137 Quốc Lộ 13 | 17x46m | HĐT: 150 triệu/tháng | Gía bán: 120 tỷ |,120000000000,120 tỷ,800,3,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh",Phường Hiệp Bình Chánh,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/mat-tien-137-quoc-lo-13-17x46m-hdt-150-trieu-thang-gia-ban-120-ty--18164392.html,https://alonhadat.com.vn/mat-tien-137-quoc-lo-13-17x46m-hdt-150-trieu-thang-gia-ban-120-ty--18164392.html,2026-06-07,2026-06-07 20:16:10.418495,,120000,150000000,0,0
alonhadat,sale_student_csv,alonhadat_duc_18757418,18757418,Cần bán gấp nhà ở Huỳnh Hữu Trí Bình Chánh 99m2 đang có hợp đồng cho thuê,1120000000,"1,12 tỷ",99,3,"Đường Huỳnh Hữu Trí, Xã Tân Nhựt, Hồ Chí Minh",Xã Tân Nhựt,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/can-ban-gap-nha-o-huynh-huu-tri-binh-chanh-99m2-dang-co-hop-dong-cho-thue-18757418.html,https://alonhadat.com.vn/can-ban-gap-nha-o-huynh-huu-tri-binh-chanh-99m2-dang-co-hop-dong-cho-thue-18757418.html,2026-06-07,2026-06-07 20:16:10.418495,,1120,11313131.313131314,0,0
alonhadat,sale_student_csv,alonhadat_duc_18757171,18757171,🔥 NGANG 6M – HXH – 180M² SỬ DỤNG – GẦN GIGAMALL – CHỈ 8.3 TỶ 🔥,8300000000.000001,"8,3 tỷ",66,4,"Đường Hiệp Bình, Phường Hiệp Bình, Hồ Chí Minh",Phường Hiệp Bình Chánh,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/-ngang-6m-hxh-180m-su-dung-gan-gigamall-chi-8-3-ty--18757171.html,https://alonhadat.com.vn/-ngang-6m-hxh-180m-su-dung-gan-gigamall-chi-8-3-ty--18757171.html,2026-06-07,2026-06-07 20:16:10.418495,,8300.000000000002,125757575.75757577,0,0
alonhadat,sale_student_csv,alonhadat_duc_18105244,18105244,"Bán nhà nở hậu, ngang 3.8m, nở hậu 4m, dài 20m, Đoàn Nguyễn Tuấn, gần chợ Bình Chánh",3500000000,"3,5 tỷ",81,3,"Đường Đoàn Nguyễn Tuấn, Xã Bình Chánh, Hồ Chí Minh",Xã Tân Quý Tây,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/nha-mt-dep-no-hau-o-ngay-ngang-3-8m-no-hau-4m-dai-20m-doan-nguyen-tuan-gan-cho-binh-18105244.html,https://alonhadat.com.vn/nha-mt-dep-no-hau-o-ngay-ngang-3-8m-no-hau-4m-dai-20m-doan-nguyen-tuan-gan-cho-binh-18105244.html,2026-06-07,2026-06-07 20:16:10.418495,,3500,43209876.54320987,0,0
alonhadat,sale_student_csv,alonhadat_duc_18736005,18736005,Bán Gấp Nhà Lầu Mặt Tiền Kinh Doanh Chợ Bờ Ngựa- Đang cho thuê 12tr/tháng - Đường 10M,920000000,920 triệu,150,3,"Đường Hưng Nhơn, Xã Tân Nhựt, Hồ Chí Minh",Xã Tân Kiên,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/ban-gap-nha-lau-mat-tien-kinh-doanh-cho-bo-ngua-dang-cho-thue-12tr-thang-duong-10m-18736005.html,https://alonhadat.com.vn/ban-gap-nha-lau-mat-tien-kinh-doanh-cho-bo-ngua-dang-cho-thue-12tr-thang-duong-10m-18736005.html,2026-06-07,2026-06-07 20:16:10.418495,,920,6133333.333333333,0,0
alonhadat,sale_student_csv,alonhadat_duc_18756858,18756858,"Nhà đẹp cạnh bên ĐH RMIT, cầu Ông Lớn, hẻm xe hơi, 100m.2, 5x20m, 4 tầng, chỉ 8 t.ỷ",8000000000,8 tỷ,100,4,"Đường Nguyễn Văn Linh, Xã Bình Hưng, Hồ Chí Minh",Xã Bình Hưng,,Huyện Bình Chánh,1020,Nhà ở,,,,https://alonhadat.com.vn/nha-dep-canh-ben-dh-rmit-cau-ong-lon-hem-xe-hoi-100m-2-5x20m-4-tang-chi-8-t-y-18756858.html,https://alonhadat.com.vn/nha-dep-canh-ben-dh-rmit-cau-ong-lon-hem-xe-hoi-100m-2-5x20m-4-tang-chi-8-t-y-18756858.html,2026-06-07,2026-06-07 20:16:10.418495,,8000,80000000,0,0
alonhadat,sale_student_csv,alonhadat_duc_18748007,18748007,Hẻm C2 Phạm Hùng - Bình Hưng - Bình Chánh -DT: 3*11m – 2 tỷ 6,2600000000,"2,6 tỷ",33,2,"Đường Phạm Hùng, Xã Bình Hưng, Hồ Chí Minh",Xã Bình Hưng,,Huyện Bình Chánh,1040,Đất,,,,https://alonhadat.com.vn/hem-c2-pham-hung-binh-hung-binh-chanh-dt-3-11m-2-ty-6-18748007.html,https://alonhadat.com.vn/hem-c2-pham-hung-binh-hung-binh-chanh-dt-3-11m-2-ty-6-18748007.html,2026-06-07,2026-06-07 20:16:10.418495,,2600,78787878.78787878,0,0
alonhadat,sale_student_csv,alonhadat_duc_18435025,18435025,"Dì Tư Chính Chủ Gửi Bán Gấp Đất Sát MT Phạm Hùng - HXT Tránh - 200m2 - Giá 4,45 tỷ",4450000000,"4,45 tỷ",200,1,"Đường Phạm Hùng, Xã Bình Hưng, Hồ Chí Minh",Xã Bình Hưng,,Huyện Bình Chánh,1040,Đất,,,,https://alonhadat.com.vn/di-tu-chinh-chu-gui-ban-gap-dat-sat-mt-pham-hung-hxt-tranh-200m2-gia-4-9-ty-18435025.html,https://alonhadat.com.vn/di-tu-chinh-chu-gui-ban-gap-dat-sat-mt-pham-hung-hxt-tranh-200m2-gia-4-9-ty-18435025.html,2026-06-07,2026-06-07 20:16:10.418495,,4450,22250000,0,0
