tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,phuong_xa,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"LÔ ĐẤT BIỆT THỰ ĐƯỜNG SỐ 22- KDC BÌNH HƯNG -ĐỐI DIỆN QUỐC TẾ ANH NGỮ - 175.5M2 - 15,5 TỶ","15,5 tỷ",176 m²,"Đường số 22, Xã Bình Hưng, Hồ Chí Minh",Huyện Bình Chánh,Xã Bình Hưng,Biệt thự,ban,https://alonhadat.com.vn/lo-dat-biet-thu-duong-so-22-kdc-binh-hung-doi-dien-quoc-te-anh-ngu-175-5m2-15-5-ty-18758443.html,alonhadat,1,15500000000,176,2026-06-07,,18758443,,
CĂN HỘ CHUNG CƯ HOÀNG QUÂN BÌNH CHÁNH -SỔ RIÊNG - SÁT CHỢ BÌNH ĐIỀN -NHỈNH 1 TỶ,"1,6 tỷ",51 m²,"Đường Nguyễn Văn Linh, Xã Bình Chánh, Hồ Chí Minh",Huyện Bình Chánh,Xã An Phú Tây,Căn hộ chung cư,ban,https://alonhadat.com.vn/can-ho-chung-cu-hoang-quan-binh-chanh-so-rieng-sat-cho-binh-dien-nhinh-1-ty-18566745.html,alonhadat,2,1600000000,51,2026-06-07,,18566745,,
🔥🔥🔥Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 930Triệu - 120m2,930 triệu,120 m²,"Đường Trịnh Như Khuê, Xã Bình Chánh, Hồ Chí Minh",Huyện Bình Chánh,Xã Bình Chánh,Nhà ở,ban,https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,alonhadat,3,930000000,120,2026-06-07,,18261891,,
"Chính chủ gửi căn nhà 4 tầng, 5x19 – Cơ hội sở hữu không gian sống yên tĩnh nhất khu vực..","8,99 tỷ",95 m²,"Đường số 5, Xã Bình Hưng, Hồ Chí Minh",Huyện Bình Chánh,Xã Phong Phú,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-dep-4-tang-phong-phu-binh-chanh-5x19m-duong-20m-nhinh-9-ty-18406372.html,alonhadat,5,8990000000,95,2026-06-07,,18406372,,
"115m2( 6,8x17) Bán nhà 3 lầu Mặt tiền đường số 8 gần chợ Hiệp Bình Chánh. 17,55 tỷ","17,55 tỷ",115 m²,"Đường Số 8, Phường Hiệp Bình, Hồ Chí Minh",Huyện Bình Chánh,Phường Hiệp Bình Chánh,Nhà ở,ban,https://alonhadat.com.vn/115m2-6-8x17-ban-nha-3-lau-mat-tien-duong-so-8-gan-cho-hiep-binh-chanh-17-55-ty-18442252.html,alonhadat,4,17550000000,115,2026-06-07,,18442252,,
Mặt Tiền 137 Quốc Lộ 13 | 17x46m | HĐT: 150 triệu/tháng | Gía bán: 120 tỷ |,120 tỷ,800 m²,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh",Huyện Bình Chánh,Phường Hiệp Bình Chánh,Nhà ở,ban,https://alonhadat.com.vn/mat-tien-137-quoc-lo-13-17x46m-hdt-150-trieu-thang-gia-ban-120-ty--18164392.html,alonhadat,3,120000000000,800,2026-06-07,,18164392,,
Cần bán gấp nhà ở Huỳnh Hữu Trí Bình Chánh 99m2 đang có hợp đồng cho thuê,"1,12 tỷ",99 m²,"Đường Huỳnh Hữu Trí, Xã Tân Nhựt, Hồ Chí Minh",Huyện Bình Chánh,Xã Tân Nhựt,Nhà ở,ban,https://alonhadat.com.vn/can-ban-gap-nha-o-huynh-huu-tri-binh-chanh-99m2-dang-co-hop-dong-cho-thue-18757418.html,alonhadat,3,1120000000,99,2026-06-07,,18757418,,
🔥 NGANG 6M – HXH – 180M² SỬ DỤNG – GẦN GIGAMALL – CHỈ 8.3 TỶ 🔥,"8,3 tỷ",66 m²,"Đường Hiệp Bình, Phường Hiệp Bình, Hồ Chí Minh",Huyện Bình Chánh,Phường Hiệp Bình Chánh,Nhà ở,ban,https://alonhadat.com.vn/-ngang-6m-hxh-180m-su-dung-gan-gigamall-chi-8-3-ty--18757171.html,alonhadat,4,8300000000.000001,66,2026-06-07,,18757171,,
"Bán nhà nở hậu, ngang 3.8m, nở hậu 4m, dài 20m, Đoàn Nguyễn Tuấn, gần chợ Bình Chánh","3,5 tỷ",81 m²,"Đường Đoàn Nguyễn Tuấn, Xã Bình Chánh, Hồ Chí Minh",Huyện Bình Chánh,Xã Tân Quý Tây,Nhà ở,ban,https://alonhadat.com.vn/nha-mt-dep-no-hau-o-ngay-ngang-3-8m-no-hau-4m-dai-20m-doan-nguyen-tuan-gan-cho-binh-18105244.html,alonhadat,3,3500000000,81,2026-06-07,,18105244,,
Bán Gấp Nhà Lầu Mặt Tiền Kinh Doanh Chợ Bờ Ngựa- Đang cho thuê 12tr/tháng - Đường 10M,920 triệu,150 m²,"Đường Hưng Nhơn, Xã Tân Nhựt, Hồ Chí Minh",Huyện Bình Chánh,Xã Tân Kiên,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-lau-mat-tien-kinh-doanh-cho-bo-ngua-dang-cho-thue-12tr-thang-duong-10m-18736005.html,alonhadat,3,920000000,150,2026-06-07,,18736005,,
