tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Mặt tiền Siêu Hiếm ngang 8m, Sát vách Gigamall","6,95 Tỷ","72,6 m2","Đường Số 26 - Phường Hiệp Bình Chánh, Thành phố Thủ Đức, TP Hồ Chí Minh",Thành Phố Thủ Đức,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-thanh-pho-thu-duc-tp-ho-chi-minh/mat-tien-sieu-hiem-ngang-8m-sat-vach-gigamall-es3209131,homedy.com,2,6950000000,72.6,2026-06-04,Sổ hồng,3209131,10.832252218942015,106.73099327087408
"Giá tốt 610 triệu - Suối Lội 1/ Mặt tiền đường 409. Xã Củ Chi, 150m. Dân cư hiện hữu. Đã có sổ.",610 Triệu,150 m2,"Đường Số 409 - Xã Phước Vĩnh An, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Bất động sản khác,ban,https://homedy.com/ban-dat-huyen-cu-chi-tp-ho-chi-minh/gia-tot-610-trieu-suoi-loi-1-mat-tien-duong-409-xa-150m-dan-hien-huu-da-co-so-es3209355,homedy.com,0,610000000,150,2026-06-06,Sổ hồng,3209355,11.0967072,106.5097461
"Bán nhà MT nhựa 7m, Liên Khu 4-5, Bình Hưng Hòa B, Quận BT","6,2 Tỷ",60 m2,"Đường Liên khu 4-5 - Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-binh-tan-tp-ho-chi-minh/mt-nhua-7m-lien-khu-4-5-hung-hoa-b-bt-es3208979,homedy.com,4,6200000000,60,2026-06-03,Sổ hồng,3208979,10.7703543,106.5995759
Chủ bán căn 2 tỷ 1 51m2 ngay Nguyên Hồng có sổ ở liền hỗ trợ vay bank tới 80%,"2,1 Tỷ",51 m2,"Đường Nguyên Hồng - Phường 1, Quận Gò Vấp, TP Hồ Chí Minh",Quận Gò Vấp,Bất động sản khác,ban,https://homedy.com/ban-can-ho-quan-go-vap-tp-ho-chi-minh/chu-2-ty-1-51m2-ngay-nguyen-hong-co-so-o-lien-tro-vay-bank-toi-80-es3208970,homedy.com,0,2100000000,51,2026-06-03,Sổ hồng,3208970,10.8353538,106.6740337
"2 Tỷ 2 (55M2) ,Sổ trao tay ,dọn Vali ở ngay ,góp 0% lãi dài hạn , Nguyễn Văn Đậu tầng cao View góc","2,2 Tỷ",55 m2,"Đường Nguyễn Văn Đậu - Phường 11, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Bất động sản khác,ban,https://homedy.com/ban-can-ho-quan-binh-thanh-tp-ho-chi-minh/2-ty-55m2-so-trao-tay-don-vali-o-ngay-gop-0-lai-dai-han-nguyen-van-dau-tang-cao-view-goc-es3208908,homedy.com,2,2200000000,55,2026-06-03,Sổ hồng,3208908,10.767956999999999,106.6508148
"[An Phát Center] Bán CH New City Thủ Thiêm, 9,3 tỷ, 112m2, 3PN, pháp lý đầy đủ, nội thất full","9,3 Tỷ",110 - 112 m2,"Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, TP Hồ Chí Minh",Quận 2,Bất động sản khác,ban,https://homedy.com/ban-can-ho-new-city-thu-thiem/an-phat-center-ch-93-ty-112m2-3pn-phap-ly-day-du-noi-that-full-es3208268,homedy.com,3,9300000000,110,2026-06-06,Sổ hồng,3208268,10.780990657473474,106.73602113264928
Bán 5 lô F0 ngay chợ Hiệp Bình. Chỉ từ 4.6 tỷ/lô,"4,6 Tỷ","74,9 m2","Đường Tam Bình - Phường Hiệp Bình Chánh, Thành phố Thủ Đức, TP Hồ Chí Minh",Thành Phố Thủ Đức,Bất động sản khác,ban,https://homedy.com/ban-dat-nen-du-an-thanh-pho-thu-duc-tp-ho-chi-minh/5-lo-f0-ngay-cho-hiep-binh-tu-4-6-ty-es3207691,homedy.com,0,4600000000,74.9,2026-05-25,Sổ hồng,3207691,10.8299994,106.7132913
"Giỏ hàng căn hộ The Barkey - Gateway Thảo Điền, 2–3PN, nhận nhà ngay, TT 30%","17,17 Tỷ",93 m2,"Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, TP Hồ Chí Minh",Quận 2,Căn hộ,ban,https://homedy.com/ban-can-ho-khu-phuc-hop-gateway-thao-dien/gio-hang-the-barkey-2-3pn-nhan-nha-ngay-tt-30-es3207686,homedy.com,3,17170000000.000002,93,2026-05-25,Sổ hồng,3207686,10.803864585505933,106.74678662215116
Chính chủ Bán Nhà MẶT TIỀN lớn Đường Nam Kỳ Khởi Nghĩa DT (8m x 25m),117 Tỷ,"150,7 m2","Đường Nam Kỳ Khởi Nghĩa - Phường 8, Quận 3, TP Hồ Chí Minh",Quận 3,Nhà phố,ban,https://homedy.com/ban-nha-mat-pho-quan-3-tp-ho-chi-minh/chinh-chu-tien-lon-duong-nam-ky-khoi-nghia-dt-8m-x-25m-es3207693,homedy.com,0,117000000000,150.7,2026-05-25,Sổ hồng,3207693,10.7752885,106.705369
"Chính chủ bán đất Thủ Đức, số 8 Đường 41 – 123m², mặt tiền 6.5m","9,84 Tỷ",123 m2,"Đường 41 - Phường Linh Đông, Thành phố Thủ Đức, TP Hồ Chí Minh",Thành Phố Thủ Đức,Đất nền,ban,https://homedy.com/ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/chinh-chu-so-8-duong-41-123m-mat-tien-6-5m-es3206375,homedy.com,0,9840000000,123,2026-05-16,Sổ hồng,3206375,10.847636815227196,106.7485284805298
