source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
homedy,ban,homedy_3209131,3209131,"Mặt tiền Siêu Hiếm ngang 8m, Sát vách Gigamall",6950000000,"6,95 Tỷ",72.6,2,"Đường Số 26 - Phường Hiệp Bình Chánh, Thành phố Thủ Đức, TP Hồ Chí Minh",Phường Hiệp Bình Chánh,NA,Thành phố Thủ Đức,1020,Bất động sản khác,10.832252218942015,106.73099327087408,NA,https://homedy.com/ban-nha-rieng-thanh-pho-thu-duc-tp-ho-chi-minh/mat-tien-sieu-hiem-ngang-8m-sat-vach-gigamall-es3209131,https://homedy.com/ban-nha-rieng-thanh-pho-thu-duc-tp-ho-chi-minh/mat-tien-sieu-hiem-ngang-8m-sat-vach-gigamall-es3209131,2026-06-04,2026-06-07 01:13:45.361434,NA,6950,95730027.54820937,1,0
homedy,ban,homedy_3209355,3209355,"Giá tốt 610 triệu - Suối Lội 1/ Mặt tiền đường 409. Xã Củ Chi, 150m. Dân cư hiện hữu. Đã có sổ.",610000000,610 Triệu,150,0,"Đường Số 409 - Xã Phước Vĩnh An, Huyện Củ Chi, TP Hồ Chí Minh",Xã Phước Vĩnh An,NA,Huyện Củ Chi,1020,Bất động sản khác,11.0967072,106.5097461,NA,https://homedy.com/ban-dat-huyen-cu-chi-tp-ho-chi-minh/gia-tot-610-trieu-suoi-loi-1-mat-tien-duong-409-xa-150m-dan-hien-huu-da-co-so-es3209355,https://homedy.com/ban-dat-huyen-cu-chi-tp-ho-chi-minh/gia-tot-610-trieu-suoi-loi-1-mat-tien-duong-409-xa-150m-dan-hien-huu-da-co-so-es3209355,2026-06-06,2026-06-07 01:13:45.361434,NA,610,4066666.6666666665,1,0
homedy,ban,homedy_3208979,3208979,"Bán nhà MT nhựa 7m, Liên Khu 4-5, Bình Hưng Hòa B, Quận BT",6200000000,"6,2 Tỷ",60,4,"Đường Liên khu 4-5 - Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh",Phường Bình Hưng Hòa B,NA,Quận Bình Tân,1020,Nhà phố,10.7703543,106.5995759,NA,https://homedy.com/ban-nha-mat-pho-quan-binh-tan-tp-ho-chi-minh/mt-nhua-7m-lien-khu-4-5-hung-hoa-b-bt-es3208979,https://homedy.com/ban-nha-mat-pho-quan-binh-tan-tp-ho-chi-minh/mt-nhua-7m-lien-khu-4-5-hung-hoa-b-bt-es3208979,2026-06-03,2026-06-07 01:13:45.361434,NA,6200,103333333.33333333,1,0
homedy,ban,homedy_3208970,3208970,Chủ bán căn 2 tỷ 1 51m2 ngay Nguyên Hồng có sổ ở liền hỗ trợ vay bank tới 80%,2100000000,"2,1 Tỷ",51,0,"Đường Nguyên Hồng - Phường 1, Quận Gò Vấp, TP Hồ Chí Minh",Phường 1,NA,Quận Gò Vấp,1020,Bất động sản khác,10.8353538,106.6740337,NA,https://homedy.com/ban-can-ho-quan-go-vap-tp-ho-chi-minh/chu-2-ty-1-51m2-ngay-nguyen-hong-co-so-o-lien-tro-vay-bank-toi-80-es3208970,https://homedy.com/ban-can-ho-quan-go-vap-tp-ho-chi-minh/chu-2-ty-1-51m2-ngay-nguyen-hong-co-so-o-lien-tro-vay-bank-toi-80-es3208970,2026-06-03,2026-06-07 01:13:45.361434,NA,2100,41176470.5882353,1,0
homedy,ban,homedy_3208908,3208908,"2 Tỷ 2 (55M2) ,Sổ trao tay ,dọn Vali ở ngay ,góp 0% lãi dài hạn , Nguyễn Văn Đậu tầng cao View góc",2200000000,"2,2 Tỷ",55,2,"Đường Nguyễn Văn Đậu - Phường 11, Quận Bình Thạnh, TP Hồ Chí Minh",Phường 11,NA,Quận Bình Thạnh,1020,Bất động sản khác,10.767956999999999,106.6508148,NA,https://homedy.com/ban-can-ho-quan-binh-thanh-tp-ho-chi-minh/2-ty-55m2-so-trao-tay-don-vali-o-ngay-gop-0-lai-dai-han-nguyen-van-dau-tang-cao-view-goc-es3208908,https://homedy.com/ban-can-ho-quan-binh-thanh-tp-ho-chi-minh/2-ty-55m2-so-trao-tay-don-vali-o-ngay-gop-0-lai-dai-han-nguyen-van-dau-tang-cao-view-goc-es3208908,2026-06-03,2026-06-07 01:13:45.361434,NA,2200,40000000,1,0
homedy,ban,homedy_3208268,3208268,"[An Phát Center] Bán CH New City Thủ Thiêm, 9,3 tỷ, 112m2, 3PN, pháp lý đầy đủ, nội thất full",9300000000,"9,3 Tỷ",110,3,"Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, TP Hồ Chí Minh",Phường Bình Khánh,NA,Thành phố Thủ Đức,1020,Bất động sản khác,10.780990657473474,106.73602113264928,NA,https://homedy.com/ban-can-ho-new-city-thu-thiem/an-phat-center-ch-93-ty-112m2-3pn-phap-ly-day-du-noi-that-full-es3208268,https://homedy.com/ban-can-ho-new-city-thu-thiem/an-phat-center-ch-93-ty-112m2-3pn-phap-ly-day-du-noi-that-full-es3208268,2026-06-06,2026-06-07 01:13:45.361434,NA,9300,84545454.54545455,1,0
homedy,ban,homedy_3207691,3207691,Bán 5 lô F0 ngay chợ Hiệp Bình. Chỉ từ 4.6 tỷ/lô,4600000000,"4,6 Tỷ",74.9,0,"Đường Tam Bình - Phường Hiệp Bình Chánh, Thành phố Thủ Đức, TP Hồ Chí Minh",Phường Hiệp Bình Chánh,NA,Thành phố Thủ Đức,1020,Bất động sản khác,10.8299994,106.7132913,NA,https://homedy.com/ban-dat-nen-du-an-thanh-pho-thu-duc-tp-ho-chi-minh/5-lo-f0-ngay-cho-hiep-binh-tu-4-6-ty-es3207691,https://homedy.com/ban-dat-nen-du-an-thanh-pho-thu-duc-tp-ho-chi-minh/5-lo-f0-ngay-cho-hiep-binh-tu-4-6-ty-es3207691,2026-05-25,2026-06-07 01:13:45.361434,NA,4600,61415220.29372496,1,0
homedy,ban,homedy_3207686,3207686,"Giỏ hàng căn hộ The Barkey - Gateway Thảo Điền, 2–3PN, nhận nhà ngay, TT 30%",17170000000.000002,"17,17 Tỷ",93,3,"Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, TP Hồ Chí Minh",Phường Thảo Điền,NA,Thành phố Thủ Đức,1010,Căn hộ,10.803864585505933,106.74678662215116,NA,https://homedy.com/ban-can-ho-khu-phuc-hop-gateway-thao-dien/gio-hang-the-barkey-2-3pn-nhan-nha-ngay-tt-30-es3207686,https://homedy.com/ban-can-ho-khu-phuc-hop-gateway-thao-dien/gio-hang-the-barkey-2-3pn-nhan-nha-ngay-tt-30-es3207686,2026-05-25,2026-06-07 01:13:45.361434,NA,17170.000000000004,184623655.91397852,1,0
homedy,ban,homedy_3207693,3207693,Chính chủ Bán Nhà MẶT TIỀN lớn Đường Nam Kỳ Khởi Nghĩa DT (8m x 25m),117000000000,117 Tỷ,150.7,0,"Đường Nam Kỳ Khởi Nghĩa - Phường 8, Quận 3, TP Hồ Chí Minh",Phường 8,NA,Quận 3,1020,Nhà phố,10.7752885,106.705369,NA,https://homedy.com/ban-nha-mat-pho-quan-3-tp-ho-chi-minh/chinh-chu-tien-lon-duong-nam-ky-khoi-nghia-dt-8m-x-25m-es3207693,https://homedy.com/ban-nha-mat-pho-quan-3-tp-ho-chi-minh/chinh-chu-tien-lon-duong-nam-ky-khoi-nghia-dt-8m-x-25m-es3207693,2026-05-25,2026-06-07 01:13:45.361434,NA,117000,776376907.7637691,1,0
homedy,ban,homedy_3206375,3206375,"Chính chủ bán đất Thủ Đức, số 8 Đường 41 – 123m², mặt tiền 6.5m",9840000000,"9,84 Tỷ",123,0,"Đường 41 - Phường Linh Đông, Thành phố Thủ Đức, TP Hồ Chí Minh",Phường Linh Đông,NA,Thành phố Thủ Đức,1040,Đất nền,10.847636815227196,106.7485284805298,NA,https://homedy.com/ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/chinh-chu-so-8-duong-41-123m-mat-tien-6-5m-es3206375,https://homedy.com/ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/chinh-chu-so-8-duong-41-123m-mat-tien-6-5m-es3206375,2026-05-16,2026-06-07 01:13:45.361434,NA,9840,80000000,1,0
