tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,ngay_dang,gia_vnd,dien_tich_m2,lien_he,mo_ta
"Cho thuê nhà khu Tên Lửa, MT đường Số 7B, P. Bình Trị Đông B, 5 x 20m, 3.5 tấm, giá 19 triệu/tháng.",19 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-khu-ten-lua-mt-duong-so-7b-p-binh-tri-dong-b-5-x-20m-3-5-tam-gia-19-trieu-thang--1727425959.html,luachonnhadat.vn,2024-09-27,19000000,100,NA,NA
"Cho thuê nhà khu Tên Lửa, MT đường Số 25A, P. Bình Trị Đông B, 4 x 21m, 3.5 tấm, giá 17 triệu/tháng.",17 Triệu/tháng,84 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-khu-ten-lua-mt-duong-so-25a-p-binh-tri-dong-b-4-x-21m-3-5-tam-gia-17-trieu-thang-.html,luachonnhadat.vn,2024-09-25,17000000,84,NA,NA
"Cho thuê nhà MT đường Số 16, P. Bình Hưng Hoà, 8 x 22m, 1 lầu, giá 50 triệu/tháng.",50 Triệu/tháng,176 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-16-p-binh-hung-hoa-8-x-22m-1-lau-gia-50-trieu-thang-.html,luachonnhadat.vn,2024-09-23,50000000,176,NA,NA
"Cho thuê nhà MT đường Số 19, P. Bình Trị Đông B, 9 x 20m, 4.5 tấm + hầm, giá 120 triệu/tháng.",120 Triệu/tháng,180 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-19-p-binh-tri-dong-b-9-x-20m-4-5-tam-ham-gia-120-trieu-thang--1726815802.html,luachonnhadat.vn,2024-09-20,120000000,180,NA,NA
"Cho thuê đất khu Tên Lửa, MT đường Số 34 nhỏ, P. Bình Trị Đông B, 10 x 20m, giá 10 triệu/tháng",10 Triệu/tháng,200 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-khu-ten-lua-mt-duong-so-34-nho-p-binh-tri-dong-b-10-x-20m-gia-10-trieu-thang-1726717013.html,luachonnhadat.vn,2024-09-19,10000000,200,NA,NA
"Cho thuê nhà hẻm 157 Mai Xuân Thưởng, P.4, Q.6, nhà 3 tấm, 3.3 x 18m, NH 8m, giá 18 triệu/tháng",18 Triệu/tháng,59 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-hem-157-mai-xuan-thuong-p-4-q-6-nha-3-tam-3-3-x-18m-nh-8m-gia-18-trieu-thang-1726649429.html,luachonnhadat.vn,2024-09-18,18000000,59,NA,NA
"Cho thuê nhà MT đường Số 5, P. Tân Tạo A, 6 x 20m, 3.5 tấm, giá 30 triệu/tháng",30 Triệu/tháng,120 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-5-p-tan-tao-a-6-x-20m-3-5-tam-gia-30-trieu-thang-1726025572.html,luachonnhadat.vn,2024-09-11,30000000,120,NA,NA
"Cho thuê nhà khu Nam Hùng Vương, MT đường Số 4, P. An Lạc, 4 x 23m, 2.5 tấm, giá 14 triệu/tháng",14 Triệu/tháng,92 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-khu-nam-hung-vuong-mt-duong-so-4-p-an-lac-4-x-23m-2-5-tam-gia-14-trieu-thang.html,luachonnhadat.vn,2024-09-06,14000000,92,NA,NA
"Cho thuê nhà khu Tên Lửa, MT đường Số 1, P. Bình Trị Đông B, DT 12 x 21m, cấp 4, giá 42 triệu/tháng.",42 Triệu/tháng,252 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-khu-ten-lua-mt-duong-so-1-p-binh-tri-dong-b-dt-12-x-21m-cap-4-gia-42-trieu-thang-.html,luachonnhadat.vn,2024-08-24,42000000,252,NA,NA
"Cho thuê nhà MT đường Tên Lửa, P, Bình Trị Đông B, 8 x 20m, 3.5 tấm, giá 60 triệu/tháng",60 Triệu/tháng,160 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-ten-lua-p-binh-tri-dong-b-8-x-20m-3-5-tam-gia-60-trieu-thang.html,luachonnhadat.vn,2024-08-12,60000000,160,NA,NA
