tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
Indochine style_50m2 1phong ngủ_Full nội thất_Ban công_Tân Định Quận 1,12 triệu 500 nghìn,50 m2,"Quận 1, TPHCM",Quận 1,Căn hộ,thue,https://mogi.vn/quan-1/thue-can-ho-chung-cu/indochine-style-50m2-1phong-ngu-full-noi-that-ban-cong-tan-dinh-quan-1-id22107252,mogi.vn,1,12000000,50,2026-06-19,,22107252,,
Cho thuê căn hộ_50m2_View Landmark_Ban công_Phạm Viết Chánh Bình Thạnh,12 triệu,50 m2,"Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Căn hộ,thue,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-50m2-view-landmark-ban-cong-pham-viet-chanh-binh-thanh-id22132215,mogi.vn,1,12000000,50,2026-06-19,,22132215,,
Cho thuê căn hộ_free gym pool_Nguyễn Thị Minh Khai Quận 1,11 triệu 500 nghìn,45 m2,"Quận 1, TPHCM",Quận 1,Căn hộ,thue,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-free-gym-pool-nguyen-thi-minh-khai-quan-1-id22132070,mogi.vn,1,11000000,45,2026-06-19,,22132070,,
căn hộ luxury_2PN_nội thất cao cấp_Nguyễn Thị Minh Khai Quận 1,18 triệu,90 m2,"Quận 1, TPHCM",Quận 1,Căn hộ,thue,https://mogi.vn/quan-1/thue-can-ho-chung-cu/can-ho-luxury-2pn-noi-that-cao-cap-nguyen-thi-minh-khai-quan-1-id22132426,mogi.vn,2,18000000,90,2026-06-19,,22132426,,
✅Cho Thuê Căn Hộ_1PN_60m2 Full Nội Thất_Nguyễn Văn Trỗi Phú Nhuận✅,11 triệu 500 nghìn,60 m2,"Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Căn hộ,thue,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-1pn-60m2-full-noi-that-nguyen-van-troi-phu-nhuan-id22214391,mogi.vn,1,11000000,60,2026-06-19,,22214391,,
Cho thuê căn hộ_1 phòng ngủ_60m2_Ban Công_Huỳnh Mẫn Đạt Bình Thạnh,13 triệu 500 nghìn,60 m2,"Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Căn hộ,thue,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-1-phong-ngu-60m2-ban-cong-huynh-man-dat-binh-thanh-id22135842,mogi.vn,1,13000000,60,2026-06-19,,22135842,,
✅ Cho Thuê Căn Hộ_2PN 75m2_Đặng Dung Quận 1 Gần Phan Xích Long✅,15 triệu,75 m2,"Quận 1, TPHCM",Quận 1,Căn hộ,thue,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-75m2-dang-dung-quan-1-gan-phan-xich-long-id22232948,mogi.vn,2,15000000,75,2026-06-19,,22232948,,
✅Cho Thuê Căn Hộ_2PN_Full Nội Thất Cao Cấp_Đường 12 Thảo Điền Quận 2✅,18 triệu,110 m2,"Quận 2 (TP. Thủ Đức), TPHCM",Thành phố Thủ Đức,Căn hộ,thue,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-full-noi-that-cao-cap-duong-12-thao-dien-quan-2-id22213882,mogi.vn,2,18000000,110,2026-06-19,,22213882,,
✅cho Thuê căn hộ_khu villa cao cấp_2PN_Full Nội Thất_Nguyễn Văn Hưởng✅,16 triệu,86 m2,"Quận 2 (TP. Thủ Đức), TPHCM",Thành phố Thủ Đức,Căn hộ,thue,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-khu-villa-cao-cap-2pn-full-noi-that-nguyen-van-huong-id22289368,mogi.vn,2,16000000,86,2026-06-19,,22289368,,
✅Cho Thuê Căn Hộ_2PN_Nột Thất Cao Cấp_Phùng Văn Cung Phú Nhuận✅,14 triệu,76 m2,"Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Căn hộ,thue,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-not-that-cao-cap-phung-van-cung-phu-nhuan-id22289452,mogi.vn,2,14000000,76,2026-06-19,,22289452,,
