tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Chỉ 48 tỷ ! Bán nhà mặt tiền Võ Văn Tần, Q3 -2 chiều 5 tầng, thang máy",48 tỷ,75 m2,"Võ Văn Tần, Phường 5, Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/chi-48-ty-ban-nha-mat-tien-vo-van-tan-q3-2-chieu-5-tang-thang-may-id22742222,mogi.vn,10,48000000000,75,20608,Sổ hồng,22742222,10.7716012,106.68577576000008
"Bán nhà Mặt tiền đường khu cư Xá Bắc Hải, P15 Q10, 4.6x28m, chỉ 25 tỷ",25 tỷ,122 m2,"Đồng Nai, Phường 15, Quận 10, TPHCM",Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-khu-cu-xa-bac-hai-p15-q10-4-6x28m-chi-25-ty-id22628745,mogi.vn,3,25000000000,122,20608,Giấy tờ hợp lệ,22628745,10.78174305,106.66621398999996
"Bán tòa nhà CHDV Mt View sông ngay Thảo Điền, Thủ Đức, 12x20m, HĐ 200t",65 tỷ,250 m2,"Thảo Điền, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",Quận 2 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-toa-nha-chdv-mt-view-song-ngay-thao-dien-thu-duc-12x20m-hd-200t-id22628736,mogi.vn,14,65000000000,250,20608,Giấy tờ hợp lệ,22628736,10.809147835,106.73532104500008
"Bán nhà mặt tiền Huỳnh Văn Bánh gần Nguyễn Văn Trỗi, Phú Nhuận, 5x23m",36 tỷ,110 m2,"Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-huynh-van-banh-gan-nguyen-van-troi-phu-nhuan-5x23m-id22623432,mogi.vn,5,36000000000,110,20608,Giấy tờ hợp lệ,22623432,10.793182845,106.67456818000004
"Bán nhà HXH Nguyễn Trãi, Nguyễn Cư Trinh, Q1 13.5x26m, chỉ 186tr/m",61 tỷ 900 triệu,340 m2,"Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-hxh-nguyen-trai-nguyen-cu-trinh-q1-13-5x26m-chi-186tr-m-id22620314,mogi.vn,5,61900000000,340,20608,Giấy tờ hợp lệ,22620314,10.7640301,106.68660999999996
"Bán nhà đường Hoàng Hoa Thám ngay Bình Thạnh, 8.5x26, 2 Lầu, 26 tỷ",26 tỷ 500 triệu,188 m2,"Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-duong-hoang-hoa-tham-ngay-binh-thanh-8-5x26-2-lau-26-ty-id22604383,mogi.vn,2,26500000000,188,20608,Giấy tờ hợp lệ,22604383,10.80700922,106.69161224000004
"Bán gấp nhà mặt tiền ngay Trần Hưng Đạo, Cô Giang, Quận 1,9x22m, 82 tỷ",82 tỷ,200 m2,"Trần Hưng Đạo, Phường Cô Giang, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-gap-nha-mat-tien-ngay-tran-hung-dao-co-giang-quan-1-9x22m-82-ty-id22593311,mogi.vn,2,82000000000,200,20608,Giấy tờ hợp lệ,22593311,10.827997518904857,106.63719884765624
Giá Chỉ 195 triệu/m2 rẻ cho 1000m2 đất MT Trần Huy Liệu- Q Phú Nhuận,190 tỷ,972 m2,"Trần Huy Liệu, Phường 12, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Đất nền,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/gia-chi-195-trieu-m2-re-cho-1000m2-dat-mt-tran-huy-lieu-q-phu-nhuan-id22742612,mogi.vn,5,190000000000,972,20608,Sổ hồng,22742612,10.792609695,106.67912674000002
"Bán nhà mặt tiền Bùi Thị Xuân, Bến Thành, Quận 1, 4x18m, 3 lầu, 32 tỷ",32 tỷ,80 m2,"Bùi Thị Xuân, Phường Bến Thành, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-bui-thi-xuan-ben-thanh-quan-1-4x18m-3-lau-32-ty-id22597519,mogi.vn,6,32000000000,80,20608,Giấy tờ hợp lệ,22597519,10.827997518904857,106.63719884765624
"Bán nhà đường Phạm Ngọc Thạch ngay Hồ Con Rùa TRUNG TÂM Quận 3,H+6tầng",48 tỷ,101 m2,"Phạm Ngọc Thạch, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-duong-pham-ngoc-thach-ngay-ho-con-rua-trung-tam-quan-3-h-6tang-id22590839,mogi.vn,12,48000000000,101,20608,Giấy tờ hợp lệ,22590839,10.780748365000001,106.691661835
