source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
mogi,thue,mogi_22107252,22107252,Indochine style_50m2 1phong ngủ_Full nội thất_Ban công_Tân Định Quận 1,12500000,12 triệu 500 nghìn,50,1,"Quận 1, TPHCM",Không rõ,NA,Quận 1,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-1/thue-can-ho-chung-cu/indochine-style-50m2-1phong-ngu-full-noi-that-ban-cong-tan-dinh-quan-1-id22107252,https://mogi.vn/quan-1/thue-can-ho-chung-cu/indochine-style-50m2-1phong-ngu-full-noi-that-ban-cong-tan-dinh-quan-1-id22107252,2026-06-19,2026-06-19 00:49:15.287304,NA,12.5,250000,0,1
mogi,thue,mogi_22132215,22132215,Cho thuê căn hộ_50m2_View Landmark_Ban công_Phạm Viết Chánh Bình Thạnh,12000000,12 triệu,50,1,"Quận Bình Thạnh, TPHCM",Không rõ,NA,Quận Bình Thạnh,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-50m2-view-landmark-ban-cong-pham-viet-chanh-binh-thanh-id22132215,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-50m2-view-landmark-ban-cong-pham-viet-chanh-binh-thanh-id22132215,2026-06-19,2026-06-19 00:49:15.287304,NA,12,240000,0,1
mogi,thue,mogi_22132070,22132070,Cho thuê căn hộ_free gym pool_Nguyễn Thị Minh Khai Quận 1,11500000,11 triệu 500 nghìn,45,1,"Quận 1, TPHCM",Không rõ,NA,Quận 1,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-free-gym-pool-nguyen-thi-minh-khai-quan-1-id22132070,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-free-gym-pool-nguyen-thi-minh-khai-quan-1-id22132070,2026-06-19,2026-06-19 00:49:15.287304,NA,11.5,255555.55555555556,0,1
mogi,thue,mogi_22132426,22132426,căn hộ luxury_2PN_nội thất cao cấp_Nguyễn Thị Minh Khai Quận 1,18000000,18 triệu,90,2,"Quận 1, TPHCM",Không rõ,NA,Quận 1,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-1/thue-can-ho-chung-cu/can-ho-luxury-2pn-noi-that-cao-cap-nguyen-thi-minh-khai-quan-1-id22132426,https://mogi.vn/quan-1/thue-can-ho-chung-cu/can-ho-luxury-2pn-noi-that-cao-cap-nguyen-thi-minh-khai-quan-1-id22132426,2026-06-19,2026-06-19 00:49:15.287304,NA,18,200000,0,1
mogi,thue,mogi_22214391,22214391,✅Cho Thuê Căn Hộ_1PN_60m2 Full Nội Thất_Nguyễn Văn Trỗi Phú Nhuận✅,11500000,11 triệu 500 nghìn,60,1,"Quận Phú Nhuận, TPHCM",Không rõ,NA,Quận Phú Nhuận,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-1pn-60m2-full-noi-that-nguyen-van-troi-phu-nhuan-id22214391,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-1pn-60m2-full-noi-that-nguyen-van-troi-phu-nhuan-id22214391,2026-06-19,2026-06-19 00:49:15.287304,NA,11.5,191666.66666666666,0,1
mogi,thue,mogi_22135842,22135842,Cho thuê căn hộ_1 phòng ngủ_60m2_Ban Công_Huỳnh Mẫn Đạt Bình Thạnh,13500000,13 triệu 500 nghìn,60,1,"Quận Bình Thạnh, TPHCM",Không rõ,NA,Quận Bình Thạnh,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-1-phong-ngu-60m2-ban-cong-huynh-man-dat-binh-thanh-id22135842,https://mogi.vn/quan-binh-thanh/thue-can-ho-chung-cu/cho-thue-can-ho-1-phong-ngu-60m2-ban-cong-huynh-man-dat-binh-thanh-id22135842,2026-06-19,2026-06-19 00:49:15.287304,NA,13.5,225000,0,1
mogi,thue,mogi_22232948,22232948,✅ Cho Thuê Căn Hộ_2PN 75m2_Đặng Dung Quận 1 Gần Phan Xích Long✅,15000000,15 triệu,75,2,"Quận 1, TPHCM",Không rõ,NA,Quận 1,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-75m2-dang-dung-quan-1-gan-phan-xich-long-id22232948,https://mogi.vn/quan-1/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-75m2-dang-dung-quan-1-gan-phan-xich-long-id22232948,2026-06-19,2026-06-19 00:49:15.287304,NA,15,200000,0,1
mogi,thue,mogi_22213882,22213882,✅Cho Thuê Căn Hộ_2PN_Full Nội Thất Cao Cấp_Đường 12 Thảo Điền Quận 2✅,18000000,18 triệu,110,2,"Quận 2 (TP. Thủ Đức), TPHCM",Không rõ,NA,Thành phố Thủ Đức,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-full-noi-that-cao-cap-duong-12-thao-dien-quan-2-id22213882,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-full-noi-that-cao-cap-duong-12-thao-dien-quan-2-id22213882,2026-06-19,2026-06-19 00:49:15.287304,NA,18,163636.36363636365,0,1
mogi,thue,mogi_22289368,22289368,✅cho Thuê căn hộ_khu villa cao cấp_2PN_Full Nội Thất_Nguyễn Văn Hưởng✅,16000000,16 triệu,86,2,"Quận 2 (TP. Thủ Đức), TPHCM",Không rõ,NA,Thành phố Thủ Đức,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-khu-villa-cao-cap-2pn-full-noi-that-nguyen-van-huong-id22289368,https://mogi.vn/quan-2/thue-can-ho-chung-cu/cho-thue-can-ho-khu-villa-cao-cap-2pn-full-noi-that-nguyen-van-huong-id22289368,2026-06-19,2026-06-19 00:49:15.287304,NA,16,186046.51162790696,0,1
mogi,thue,mogi_22289452,22289452,✅Cho Thuê Căn Hộ_2PN_Nột Thất Cao Cấp_Phùng Văn Cung Phú Nhuận✅,14000000,14 triệu,76,2,"Quận Phú Nhuận, TPHCM",Không rõ,NA,Quận Phú Nhuận,1010,Căn hộ,NA,NA,NA,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-not-that-cao-cap-phung-van-cung-phu-nhuan-id22289452,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-ho-2pn-not-that-cao-cap-phung-van-cung-phu-nhuan-id22289452,2026-06-19,2026-06-19 00:49:15.287304,NA,14,184210.52631578947,0,1
