tieu_de,gia_raw,dien_tich_raw,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,dia_chi,ngay_dang,phap_ly,id_nguon,lat,lon
Bán căn hộ Kingdom19 2PN- 2WC có ban công full nội thất giá 5.5 tỷ,5 tỷ 200 triệu,79 m2,Quận 10,Căn hộ,ban,https://mogi.vn/quan-10/mua-can-ho-chung-cu/ban-can-ho-kingdom19-2pn-2wc-co-ban-cong-full-noi-that-gia-5-5-ty-id21796402,mogi.vn,2 PN,"Tô Hiến Thành, Phường 14, Quận 10, TPHCM",05/06/2026,Hợp đồng mua bán,21796402,10.770446,106.6235628
"Bán toà nhà MT Tôn Đức Thắng, P Bến Nghé, Q1, DT 8 x 20m, HĐT 310 triệ",223 tỷ,160 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mt-ton-duc-thang-p-ben-nghe-q1-dt-8-x-20m-hdt-310-trie-id22692913,mogi.vn,8 PN,"Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TPHCM",05/06/2026,Sổ hồng,22692913,10.781120300000001,106.70469284499995
🔥 BÁN NHÀ 4 TẦNG HẺM Phường BÌNH TRƯNG QUẬN 2 ngang 4.7m giá có tl,7 tỷ 999 triệu,50 m2,Quận 2 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-2/mua-nha-hem-ngo/ban-nha-4-tang-hem-phuong-binh-trung-quan-2-ngang-4-7m-gia-co-tl-id22742766,mogi.vn,4 PN,"Đường số 5, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22742766,10.783041475000001,106.75634003000005
Bán Lô Đất Nền Mặt Tiền Đường Số 16 Khu Dự Án Nam Long P.Phước Long B,9 tỷ 700 triệu,90 m2,Quận 9 (Tp. Thủ Đức),Đất nền,ban,https://mogi.vn/quan-9/mua-dat-tho-cu/ban-lo-dat-nen-mat-tien-duong-so-16-khu-du-an-nam-long-p-phuoc-long-b-id22741358,mogi.vn,0 PN,"Đường số 16, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22741358,,
Bán Lô Đất 115m2 Đường 26 Linh Đông Cách Vành Đai 2 Chỉ 20m,7 tỷ 650 triệu,115 m2,Quận Thủ Đức (Tp. Thủ Đức),Đất nền,ban,https://mogi.vn/quan-thu-duc/mua-dat-tho-cu/ban-lo-dat-115m2-duong-26-linh-dong-cach-vanh-dai-2-chi-20m-id22742346,mogi.vn,0 PN,"Đường số 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22742346,10.84685469,106.74584198000002
"Rẻ nhất cung đường, bán villa đẹp MT Nguyễn Ư Dĩ, TP Thủ Đức, DT 17,5",62 tỷ,339 m2,Quận 2 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/re-nhat-cung-duong-ban-villa-dep-mt-nguyen-u-di-tp-thu-duc-dt-17-5-id22692909,mogi.vn,3 PN,"Nguyễn Ư Dĩ, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22692909,10.809147835,106.73532104500009
Bán Đất Mặt Tiền Đường Lê Văn Thịnh P.Bình Trưng Quận 2.,79 tỷ 500 triệu,750 m2,Quận 2 (Tp. Thủ Đức),Đất nền,ban,https://mogi.vn/quan-2/mua-dat-tho-cu/ban-dat-mat-tien-duong-le-van-thinh-p-binh-trung-quan-2-id22741359,mogi.vn,0 PN,"Lê Văn Thịnh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22741359,,
"Bán nhà cấp 4, xây móng băng ngay 512/14 đường Nguyễn Văn Tạo, Nhà Bè",5 tỷ 800 triệu,80 m2,Huyện Nhà Bè,Nhà phố,ban,https://mogi.vn/huyen-nha-be/mua-duong-noi-bo/ban-nha-cap-4-xay-mong-bang-ngay-512-14-duong-nguyen-van-tao-nha-be-id22715376,mogi.vn,1 PN,"Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, TPHCM",05/06/2026,Sổ hồng,22715376,10.65130043,106.72479629500003
"Bán Nhà 1 Trệt 1 Lầu, HXH Đường Số 2 Tăng Nhơn Phú B, Quận 9",4 tỷ 800 triệu,54 m2,Quận 9 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-1-tret-1-lau-hxh-duong-so-2-tang-nhon-phu-b-quan-9-id22732456,mogi.vn,2 PN,"Đường số 2, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22732456,10.829866410000001,106.78774261499996
"175 tỷ giảm sâu về 155 tỷ, bán gấp nhà góc 3MT Nguyễn Trãi,P Bến Thành",155 tỷ,164 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/175-ty-giam-sau-ve-155-ty-ban-gap-nha-goc-3mt-nguyen-trai-p-ben-thanh-id22670258,mogi.vn,7 PN,"Nguyễn Trãi, Phường Bến Thành, Quận 1, TPHCM",05/06/2026,Sổ hồng,22670258,10.827997518904857,106.63719884765624
Bán Đất Tặng Kèm Nhà Xưởng Tại Hẻm Số 1870 Tỉnh Lộ 10 P.Tân Tạo,78 tỷ 700 triệu,1380 m2,Quận Bình Tân,Đất nền,ban,https://mogi.vn/quan-binh-tan/mua-dat-tho-cu/ban-dat-tang-kem-nha-xuong-tai-hem-so-1870-tinh-lo-10-p-tan-tao-id22741360,mogi.vn,0 PN,"Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, TPHCM",05/06/2026,Sổ hồng,22741360,,
Bán Nhà 1 Trệt 2 Lầu Đường 14 Phước Bình Gần Global city,10 tỷ 990 triệu,87 m2,Quận 9 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-1-tret-2-lau-duong-14-phuoc-binh-gan-global-city-id22742337,mogi.vn,3 PN,"Đường số 14, Phường Phước Bình, Quận 9 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22742337,10.814869405,106.77146530000005
"Giảm 2 tỷ, bán nhà MT Nguyễn Công Trứ, Quận 1, DT 4,5 x 22m, HĐT 100 t",63 tỷ,91 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/giam-2-ty-ban-nha-mt-nguyen-cong-tru-quan-1-dt-4-5-x-22m-hdt-100-t-id22721792,mogi.vn,5 PN,"Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TPHCM",05/06/2026,Sổ hồng,22721792,10.7693846,106.70061379999993
Giảm 10 tỷ! Bán nhanh Toà Nhà Văn Phòng Đặng Như Mai- Giá còn 90 tỷ,90 tỷ,160 m2,Quận 2 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/giam-10-ty-ban-nhanh-toa-nha-van-phong-dang-nhu-mai-gia-con-90-ty-id22739625,mogi.vn,8 PN,"Liên Tỉnh Lộ 25B, Phường Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22739625,10.762645724999999,106.76771927000004
Bán Căn Biệt Thự Sân Vườn Tại Trục Đường Nhánh Của Đường Hồ Bá Phấn,780 tỷ,1000 m2,Quận 9 (Tp. Thủ Đức),Đất nền,ban,https://mogi.vn/quan-9/mua-nha-biet-thu-lien-ke/ban-can-biet-thu-san-vuon-tai-truc-duong-nhanh-cua-duong-ho-ba-phan-id22741361,mogi.vn,0 PN,"Hồ Bá Phấn, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22741361,,
"Bán căn hộ 4PN Vincom Center - Đồng Khởi, góc view sông và nội khu Bán",89 tỷ,233 m2,Quận 1,Căn hộ,ban,https://mogi.vn/quan-1/mua-can-ho-chung-cu/ban-can-ho-4pn-vincom-center-dong-khoi-goc-view-song-va-noi-khu-ban-id22739046,mogi.vn,4 PN,"Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TPHCM",05/06/2026,Sổ hồng,22739046,10.778169,106.70191599999998
Bán căn 2PN full nội thất bao hết đã có sổ Hà Đô Centrosa Garden Q10,7 tỷ,86 m2,Quận 10,Bất động sản khác,ban,https://mogi.vn/quan-10/mua-can-ho-chung-cu/ban-can-2pn-full-noi-that-bao-het-da-co-so-ha-do-centrosa-garden-q10-id22088636,mogi.vn,2 PN,"Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",05/06/2026,Sổ hồng,22088636,10.7745346,106.6761374
"Nhà 1 Trệt 3 Lầu Ngay Trường ĐH Tài Chính Marketting, Đường Võ Văn Hát",6 tỷ 650 triệu,65 m2,Quận 9 (Tp. Thủ Đức),Nhà phố,ban,https://mogi.vn/quan-9/mua-nha-hem-ngo/nha-1-tret-3-lau-ngay-truong-dh-tai-chinh-marketting-duong-vo-van-hat-id22732978,mogi.vn,4 PN,"Võ Văn Hát, Phường Long Trường, Quận 9 (TP. Thủ Đức), TPHCM",05/06/2026,Sổ hồng,22732978,10.793345925,106.822265625
"Bán nhà góc 2MT Trần Nhật Duật, P Tân Định, Quận 1, DT 5,5 x 16,6m, HĐ",55 tỷ,87 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-goc-2mt-tran-nhat-duat-p-tan-dinh-quan-1-dt-5-5-x-16-6m-hd-id22671411,mogi.vn,3 PN,"Trần Nhật Duật, Phường Tân Định, Quận 1, TPHCM",05/06/2026,Sổ hồng,22671411,10.79138,106.68898289999993
