source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
muaban,rent_all,muaban_70946882,muaban_70946882,"🎁CỌC 500K CÓ PHÒNG NGAY - Duplex gác xếp mới xây ngay gần VLU, IUH",3800000,"3,8 triệu/tháng",40,NA,"Phường 5,Quận Gò Vấp,TP.HCM",Phường 5,NA,Quận Gò Vấp,1040,Đất,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-go-vap-ho-chi-minh/coc-500k-co-phong-ngay-duplex-gac-xep-moi-xay-ngay-gan-vlu-iuh-id70946882,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.651341,10,3.8,95000,0,1
muaban,rent_all,muaban_70946884,muaban_70946884,Nhà DT 4×16_ 4 Phòng_ Sát Hàng Xanh -Q1_ Chỉ 15tr,15000000,15 triệu/tháng,64,4,"Phường 24,Quận Bình Thạnh,TP.HCM",Phường 24,NA,Quận Bình Thạnh,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/nha-hem-ngo-quan-binh-thanh-ho-chi-minh/nha-dt-4-16-4-phong-sat-hang-xanh-q1-chi-15tr-id70946884,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.644708,10,15,234375,0,1
muaban,rent_all,muaban_70946885,muaban_70946885,🏙️ Studio Rivergate Quận 4 27m² Full Nội Thất | Sát Quận 1,13000000,13 triệu/tháng,27,NA,"Quận 4,TP.HCM",Unknown,NA,Quận 4,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-officetel-du-an-river-gate-quan-4-ho-chi-minh/studio-rivergate-quan-4-27m-full-noi-that-sat-quan-1-id70946885,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.635173,10,13,481481.48148148146,0,1
muaban,rent_all,muaban_70946965,muaban_70946965,Phòng trọ có ban công riêng gần nhà ga T3 Tân Sơn Nhất,3200000,"3,2 triệu/tháng",25,NA,"Phường 13,Quận Tân Bình,TP.HCM",Phường 13,NA,Quận Tân Bình,1050,Phòng trọ,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-tan-binh-ho-chi-minh/phong-tro-co-ban-cong-rieng-gan-nha-ga-t3-tan-son-nhat-id70946965,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.627899,10,3.2,128000,0,1
muaban,rent_all,muaban_70947021,muaban_70947021,"Cho thuê nhà kho mt Tây Thạnh DT 400m2 Sàn 1 trệt 1 lầu, sẵn điện 3fa",29000000,29 triệu/tháng,400,NA,"Phường Tây Thạnh,Quận Tân Phú,TP.HCM",Phường Tây Thạnh,NA,Quận Tân Phú,1040,Đất,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-mat-bang-kinh-doanh-quan-tan-phu-ho-chi-minh/cho-thue-nha-kho-mt-tay-thanh-dt-400m2-san-1-tret-1-lau-san-dien-3fa-id70947021,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.620978,10,29,72500,0,1
muaban,rent_all,muaban_70947054,muaban_70947054,Phòng CHDV mới đầy đủ nội thất cao cấp 4.5tr đường Vành Đai Trong,4500000,"4,5 triệu/tháng",30,NA,"Phường Bình Trị Đông B,Quận Bình Tân,TP.HCM",Phường Bình Trị Đông B,NA,Quận Bình Tân,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-binh-tan-ho-chi-minh/phong-chdv-moi-day-du-noi-that-cao-cap-4-5tr-duong-vanh-dai-trong-id70947054,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.613938,10,4.5,150000,0,1
muaban,rent_all,muaban_70947079,muaban_70947079,2PN 3 BAN CÔNG MÁY GIẶT RIÊNG - MẶT TIỀN NGÔ ĐỨC KẾ BÌNH THẠNH,8199999.999999999,"8,2 triệu/tháng",50,NA,"Phường 12,Quận Bình Thạnh,TP.HCM",Phường 12,NA,Quận Bình Thạnh,1040,Đất,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-binh-thanh-ho-chi-minh/2pn-3-ban-cong-may-giat-rieng-mat-tien-ngo-duc-ke-binh-thanh-id70947079,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.606809,10,8.2,163999.99999999997,0,1
muaban,rent_all,muaban_70947092,muaban_70947092,CĂN HỘ BAN CÔNG - MÁY GIẶT RIÊNG NGAY NGÃ 6 CỘNG HÒA,6700000,"6,7 triệu/tháng",40,1,"Phường 4,Quận 5,TP.HCM",Phường 4,NA,Quận 5,1010,Căn hộ/Chung cư,NA,NA,NA,https://muaban.net/bat-dong-san/khach-san-can-ho-dich-vu-quan-5-ho-chi-minh/can-ho-ban-cong-may-giat-rieng-ngay-nga-6-cong-hoa-id70947092,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.5996,10,6.7,167500,0,1
muaban,rent_all,muaban_70947104,muaban_70947104,-🏡CĂN HỘ DỊCH VỤ 🚥BANCOL THOÁNG MÁT 💥TÂN SƠN NHÌ 💥TÂN QUÝ -💥TÂN HƯƠNG,4400000,"4,4 triệu/tháng",40,NA,"Phường Tân Sơn Nhì,Quận Tân Phú,TP.HCM",Phường Tân Sơn Nhì,NA,Quận Tân Phú,1010,Căn hộ/Chung cư,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-tan-phu-ho-chi-minh/can-ho-dich-vu-bancol-thoang-mat-tan-son-nhi-tan-quy-tan-huong-id70947104,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.59303,10,4.4,110000,0,1
muaban,rent_all,muaban_70947112,muaban_70947112,Cho thuê nhà xưởng mới xây 100% trong KCN Lê Minh Xuân 3,800000000,800 triệu/tháng,7.5,NA,"Xã Bình Lợi,Huyện Bình Chánh,TP.HCM",Xã Bình Lợi,NA,Huyện Bình Chánh,1030,Văn phòng/Mặt bằng,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-mat-bang-kinh-doanh-huyen-binh-chanh-ho-chi-minh/cho-thue-nha-xuong-moi-xay-100-trong-kcn-le-minh-xuan-3-id70947112,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.586357,10,800,106666666.66666667,0,1
muaban,rent_all,muaban_70947111,muaban_70947111,căn hộ 1 phòng ngủ. chung cư Orchard Parkview. gần sb Tân Sơn Nhất,15000000,15 triệu/tháng,55,1,"Phường 9,Quận Phú Nhuận,TP.HCM",Phường 9,NA,Quận Phú Nhuận,1010,Căn hộ/Chung cư,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-can-ho-chung-cu-quan-phu-nhuan-ho-chi-minh/can-ho-1-phong-ngu-chung-cu-orchard-parkview-gan-sb-tan-son-nhat-id70947111,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.576722,10,15,272727.2727272727,0,1
muaban,rent_all,muaban_70947117,muaban_70947117,Cho thuê hẻm xe công Trương Công Định 300m giá 30tr,30000000,30 triệu/tháng,330,NA,"Phường 14,Quận Tân Bình,TP.HCM",Phường 14,NA,Quận Tân Bình,1030,Kho xưởng,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-mat-bang-kinh-doanh-quan-tan-binh-ho-chi-minh/cho-thue-hem-xe-cong-truong-cong-dinh-300m-gia-30tr-id70947117,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.569727,10,30,90909.09090909091,0,1
muaban,rent_all,muaban_70947122,muaban_70947122,"Cho thuê trọ ,đũ tiện nghi gần chợ , Aeon , trường học",1800000,"1,8 triệu/tháng",25,NA,"Phường Bình Hưng Hòa B,Quận Bình Tân,TP.HCM",Phường Bình Hưng Hòa B,NA,Quận Bình Tân,1050,Phòng trọ,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-quan-binh-tan-ho-chi-minh/cho-thue-tro-du-tien-nghi-gan-cho-aeon-truong-hoc-id70947122,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.562726,10,1.8,72000,0,1
muaban,rent_all,muaban_68016011,muaban_68016011,"Cho thuê nhà đường Đoàn Văn Bơ, Phường Xóm Chiếu, Quận 4 cũ, giá 8tr",8000000,8 triệu/tháng,40,1,"Phường 16,Quận 4,TP.HCM",Phường 16,NA,Quận 4,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/nha-hem-ngo-quan-4-ho-chi-minh/cho-thue-nha-duong-doan-van-bo-phuong-xom-chieu-quan-4-cu-gia-8tr-id68016011,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.555792,10,8,200000,0,1
muaban,rent_all,muaban_69494151,muaban_69494151,"CHO THUÊ NHÀ ĐƯỜNG TRẦN QUANG KHẢI, PHƯỜNG TÂN ĐỊNH, QUẬN 1",6500000,"6,5 triệu/tháng",22,2,"Phường Tân Định,Quận 1,TP.HCM",Phường Tân Định,NA,Quận 1,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/nha-hem-ngo-quan-1-ho-chi-minh/cho-thue-nha-duong-tran-quang-khai-phuong-tan-dinh-quan-1-id69494151,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.546946,10,6.5,295454.54545454547,0,1
muaban,rent_all,muaban_70945539,muaban_70945539,"CHÍNH CHỦ CHO THUÊ PHÒNG DV TẠI BIỆT THỰ LAVILA KIẾN Á, NHÀ BÈ, 4.3TR",4300000,"4,3 triệu/tháng",26,NA,"Xã Phước Kiển,Huyện Nhà Bè,TP.HCM",Xã Phước Kiển,NA,Huyện Nhà Bè,1010,Căn hộ/Chung cư,NA,NA,NA,https://muaban.net/bat-dong-san/cho-thue-nha-tro-phong-tro-huyen-nha-be-ho-chi-minh/chinh-chu-cho-thue-phong-dv-tai-biet-thu-lavila-kien-a-nha-be-4-3tr-id70945539,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.537214,10,4.3,165384.61538461538,0,1
muaban,rent_all,muaban_70947148,muaban_70947148,11tr_4x18m_lửng đẹp_MT Lê Sao_cho thuê nhà Quận Tân Phú,11000000,11 triệu/tháng,72,2,"Phường Phú Thạnh,Quận Tân Phú,TP.HCM",Phường Phú Thạnh,NA,Quận Tân Phú,1030,Nhà đất cho thuê,NA,NA,NA,https://muaban.net/bat-dong-san/nha-mat-tien-quan-tan-phu-ho-chi-minh/11tr-4x18m-lung-dep-mt-le-sao-cho-thue-nha-quan-tan-phu-id70947148,https://muaban.net/bat-dong-san/cho-thue-nha-dat-ho-chi-minh?page=10,2026-06-03,2026-06-03 14:54:58.529123,10,11,152777.77777777778,0,1
