source,source_group,source_id,ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,source_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
alonhadat,sale_all,alonhadat_18261891,alonhadat_18261891,🔥🔥🔥Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 630Triệu - 120m2,630000000,Giá: 630 triệu,120,3,"Đường Trịnh Như Khuê, Xã Bình Chánh, Hồ Chí Minh

Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh (cũ)",Xã Bình Chánh,NA,Huyện Bình Chánh,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/2026/3/9/thumbnails/018261891-1705-ban-nha-mat-tien-huyen-binh-chanh.jpg,https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.456134,1,630,5250000,0,0
alonhadat,sale_all,alonhadat_18651374,alonhadat_18651374,"Cô Tâm bán cắt lỗ 200 triệu căn nhà 1 lầu , đường Bình Hưng trung tâm Bình Chánh",1300000000,"Giá: 1,3 tỷ",100,3,"Đường Bình Hưng, Xã Bình Hưng, Hồ Chí Minh

Đường Bình Hưng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh (cũ)",Xã Bình Hưng,NA,Huyện Bình Chánh,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/2026/5/14/thumbnails/018651374-5651-ban-nha-mat-tien-huyen-binh-chanh-gia-re.jpg,https://alonhadat.com.vn/co-tam-ban-cat-lo-200-trieu-can-nha-1-lau-duong-binh-hung-trung-tam-binh-chanh-18651374.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.477197,1,1300,13000000,0,0
alonhadat,sale_all,alonhadat_18573291,alonhadat_18573291,"Cô Tâm bán cắt lỗ 500 triệu căn nhà 1 lầu , chợ Phú Lạc , đang cho thuê 10tr/tháng",890000000,Giá: 890 triệu,92,3,"Đường Quốc Lộ 50, Xã Bình Hưng, Hồ Chí Minh

Đường Quốc Lộ 50, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh (cũ)",Xã Bình Hưng,NA,Huyện Bình Chánh,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/2026/4/28/thumbnails/018573291-2229-co-binh-ban-cat-lo-200tr-can-nha-1-lau-dang-cho-thue-10tr-thang.jpg,https://alonhadat.com.vn/co-binh-ban-cat-lo-200tr-can-nha-1-lau-dang-cho-thue-10tr-thang-18573291.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.492843,1,890,9673913.043478262,0,0
alonhadat,sale_all,alonhadat_18641859,alonhadat_18641859,Nhà đẹp quận 10 4.5x8m 1 trệt 2 lầu sân thượng 4 phòng ngủ,5500000000,"Giá: 5,5 tỷ",35,4,"Đường Nguyễn Tiểu La, Phường Hòa Hưng, Hồ Chí Minh

Đường Nguyễn Tiểu La, Phường 12, Quận 10, Hồ Chí Minh (cũ)",Phường Hòa Hưng,NA,Quận 10,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/2026/5/13/thumbnails/018641859-0718-ban-nha-trong-hem-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/nha-dep-quan-10-4-5x8m-1-tret-2-lau-san-thuong-4-phong-ngu-18641859.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.507128,1,5500,157142857.14285713,0,0
alonhadat,sale_all,alonhadat_18255291,alonhadat_18255291,"Bán nhà mặt tiền đường Hàm Nghi, Nguyễn Thái Bình, Quận 1, ngang 22.5m được xây cao tầng",450000000000,Giá: 450 tỷ,350,10,"Đường Hàm Nghi, Phường Bến Thành, Hồ Chí Minh

Đường Hàm Nghi, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",Phường Bến Thành,NA,Quận 1,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/ban-nha-mat-tien-duong-ham-nghi-nguyen-thai-binh-quan-1-ngang-22-5m-duoc-xay-cao-tang-18255291.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.521078,1,450000,1285714285.7142856,0,0
alonhadat,sale_all,alonhadat_18379766,alonhadat_18379766,"Bán gấp nhà MT Ngay Trần Quang Khải - Hai Bà Trưng - Q.1 (DT 10.4 x 30m), GPXD Hầm 7 tầng.",130000000000,Giá: 130 tỷ,288,20,"Đường Trần Quang Khải, Phường Tân Định, Hồ Chí Minh

Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)",Phường Tân Định,NA,Quận 1,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/ban-gap-nha-mt-ngay-tran-quang-khai-hai-ba-trung-q-1-dt-10-4-x-30m-gpxd-ham-7-tang--18379766.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.536862,1,130000,451388888.8888889,0,0
alonhadat,sale_all,alonhadat_18561082,alonhadat_18561082,Bán nhà 5 tầng+thang máy HXH 8m ngay Nguyễn Văn Trỗi - Q.Phú Nhuận ( Dt 9 x 21m = 185m2 ),39000000000,Giá: 39 tỷ,185,5,"Đường Nguyễn Văn Trỗi, Phường Phú Nhuận, Hồ Chí Minh

Đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Hồ Chí Minh (cũ)",Phường Phú Nhuận,NA,Quận Phú Nhuận,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/ban-nha-5-tang-thang-may-hxh-8m-ngay-nguyen-van-troi-q-phu-nhuan-dt-9-x-21m-185m2--18561082.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.550578,1,39000,210810810.8108108,0,0
alonhadat,sale_all,alonhadat_18561116,alonhadat_18561116,"Bán gấp nhà ngay Lê Văn Sỹ - Q.Phú Nhuận, DT 9x21m + 5 tầng + 185m2 giá chỉ 38,5 tỷ TL",38500000000,"Giá: 38,5 tỷ",185,6,"Đường Lê Văn Sỹ, Phường Phú Nhuận, Hồ Chí Minh

Đường Lê Văn Sỹ, Phường 11, Quận Phú Nhuận, Hồ Chí Minh (cũ)",Phường Phú Nhuận,NA,Quận Phú Nhuận,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/ban-gap-nha-ngay-le-van-sy-q-phu-nhuan-dt-9x21m-5-tang-185m2-gia-chi-38-5-ty-tl-18561116.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.562454,1,38500,208108108.1081081,0,0
alonhadat,sale_all,alonhadat_18643510,alonhadat_18643510,"Bán gấp nhà 6 tầng Hẻm nội bộ 6m Huỳnh Văn Bánh - Phú Nhuận, DT 6,5 x 15m NH 8.5m",23000000000,Giá: 23 tỷ,100,8,"Đường Huỳnh Văn Bánh, Phường Phú Nhuận, Hồ Chí Minh

Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh (cũ)",Phường Phú Nhuận,NA,Quận Phú Nhuận,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/ban-gap-nha-6-tang-hem-noi-bo-6m-huynh-van-banh-phu-nhuan-dt-6-5-x-15m-nh-8-5m-18643510.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.575719,1,23000,230000000,0,0
alonhadat,sale_all,alonhadat_18638848,alonhadat_18638848,"[GIÁ TỐT] SỞ HỮU CĂN HỘ 2PN+ ""VIEW TRIỆU ĐÔ"" VINHOMES GRAND PARK – GIẢM 2 TỶ - CHỈ 3.9 TỶ",3900000000,"Giá: 3,9 tỷ",70,3,"Đường Nguyễn Xiển, Phường Long Bình, Hồ Chí Minh

Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",Phường Long Bình,NA,Thành phố Thủ Đức,1020,Nhà ở,NA,NA,https://alonhadat.com.vn/files/properties/2026/5/12/thumbnails/018638848-4317-ban-can-ho-chung-cu-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/-gia-tot-so-huu-can-ho-2pn-view-trieu-do-vinhomes-grand-park-giam-2-ty-chi-3-9-ty-18638848.html,https://alonhadat.com.vn/can-ban-nha-dat/ho-chi-minh,2026-05-16,2026-05-16 16:53:35.587458,1,3900,55714285.71428572,0,0
