segment,model,split_type,train_rows,test_rows,rmse_vnd,mae_vnd,mape,r2
sale,Linear Regression,stratified_random_by_source,8218,2056,26158995377.707626,9066311131.343521,0.5216597392932788,0.6960079717731489
sale,Random Forest,stratified_random_by_source,8218,2056,24942942223.046886,7996540337.103791,0.39863883519577326,0.7236143859110412
sale,XGBoost,stratified_random_by_source,8218,2056,23786603623.71616,7699597323.162363,0.3966000743206826,0.7486464959625186
sale,RF + XGBoost Ensemble,stratified_random_by_source,8218,2056,24151133029.98026,7731123784.522486,0.39116271964012117,0.740883485593891
sale,Tuned RF/XGBoost Ensemble,stratified_random_by_source,8218,2056,24093176109.59222,7718227747.142837,0.3911578454950481,0.7421256282185644
rent,Linear Regression,stratified_random_by_source,4745,1188,76445572.79482648,20025014.77580239,0.47654690267980354,0.2892363859296786
rent,Random Forest,stratified_random_by_source,4745,1188,72769321.78708403,16907198.969915036,0.30194734391171457,0.3559535905851785
rent,XGBoost,stratified_random_by_source,4745,1188,70810707.70242539,16307546.106898855,0.3046418489011622,0.39015652914197985
rent,RF + XGBoost Ensemble,stratified_random_by_source,4745,1188,71767364.529249385,16342183.906000957,0.2964539530686675,0.37356717714504495
rent,Tuned RF/XGBoost Ensemble,stratified_random_by_source,4745,1188,71868026.36359541,16377705.077014476,0.29638325500985296,0.37180865917927375
