transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Bán,Huyện Bình Chánh,Bất động sản khác,30760167.46411483,74,6,1
Bán,Huyện Bình Chánh,Căn hộ/Chung cư,43137254.90196078,60,169,4
Bán,Huyện Bình Chánh,Đất,16000000,120,165,4
Bán,Huyện Bình Chánh,Đất nền,21574481.91205141,684.5,6,3
Bán,Huyện Bình Chánh,Nhà ở,38742690.05847953,87.5,150,4
Bán,Huyện Bình Chánh,Nhà phố,104761904.76190476,100,9,1
Bán,Huyện Cần Giờ,Đất,17823529.411764704,551.5,64,3
Bán,Huyện Cần Giờ,Nhà ở,82273479.15935615,230.19995,14,1
Bán,Huyện Củ Chi,Đất,3988269.794721408,224,341,4
Bán,Huyện Củ Chi,Đất nền,10625000,100,22,1
Bán,Huyện Củ Chi,Nhà ở,8450581.032112958,128.15,120,1
Bán,Huyện Củ Chi,Nhà phố,7619047.619047619,101,7,1
Bán,Huyện Hóc Môn,Căn hộ/Chung cư,19701492.53731343,60,16,1
Bán,Huyện Hóc Môn,Đất,29591836.734693877,140,223,4
Bán,Huyện Hóc Môn,Nhà ở,46430084.74576271,90,162,4
Bán,Huyện Hóc Môn,Nhà phố,19750000,44,15,1
Bán,Huyện Nhà Bè,Bất động sản khác,81363636.36363636,220,9,1
Bán,Huyện Nhà Bè,Căn hộ,75000000,80,7,1
Bán,Huyện Nhà Bè,Căn hộ/Chung cư,43798449.6124031,75,145,4
Bán,Huyện Nhà Bè,Đất,41532258.06451613,118,125,1
Bán,Huyện Nhà Bè,Đất nền,75000000,200,13,1
Bán,Huyện Nhà Bè,Nhà ở,68428571.42857143,64,140,4
Bán,Huyện Nhà Bè,Nhà phố,110256410.25641026,80,61,1
Bán,Quận 1,Bất động sản khác,521739130.4347826,120,141,2
Bán,Quận 1,Biệt thự,416666666.6666667,263,7,2
Bán,Quận 1,Căn hộ,273684210.5263158,139,52,2
Bán,Quận 1,Căn hộ chung cư,272231240.981241,138.5,12,2
Bán,Quận 1,Căn hộ/Chung cư,126529643.17497854,69.5,64,1
Bán,Quận 1,Đất,570000000,155,47,2
Bán,Quận 1,Đất nền,397111913.3574007,400,15,3
Bán,Quận 1,Mặt bằng,463414634.14634144,70,5,2
Bán,Quận 1,Nhà ở,276785714.28571427,56,197,4
Bán,Quận 1,Nhà phố,526388888.8888889,115,220,2
Bán,Quận 1,Phòng/Cho thuê,998903508.7719297,120.75,8,2
Bán,Quận 10,Bất động sản khác,81395348.8372093,86,101,1
Bán,Quận 10,Căn hộ,67701149.42528735,75,55,1
Bán,Quận 10,Căn hộ/Chung cư,93750000,72,93,1
Bán,Quận 10,Đất,225833333.3333333,104.5,10,1
Bán,Quận 10,Đất nền,189221208.32001048,256.5,12,1
Bán,Quận 10,Nhà ở,208333333.33333337,45,173,4
Bán,Quận 10,Nhà phố,238461538.4615385,88,145,4
Bán,Quận 11,Bất động sản khác,41982456.14035088,56,8,1
Bán,Quận 11,Căn hộ,56153846.15384615,73,11,1
Bán,Quận 11,Căn hộ/Chung cư,59258241.75824176,64.9,108,1
Bán,Quận 11,Đất,150404545.45454544,75.65,14,1
Bán,Quận 11,Nhà ở,158514492.7536232,46,138,4
Bán,Quận 11,Nhà phố,176923076.92307693,52,23,1
Bán,Quận 12,Bất động sản khác,50175029.171528585,200,21,1
Bán,Quận 12,Biệt thự,77383520.27610008,202.5,8,1
Bán,Quận 12,Căn hộ,42863685.344827585,62,18,1
Bán,Quận 12,Căn hộ chung cư,52297979.7979798,152,6,1
Bán,Quận 12,Căn hộ/Chung cư,45982456.14035088,61,136,4
Bán,Quận 12,Đất,59035642.90473018,84.79990000000001,248,4
Bán,Quận 12,Đất nền,64285714.28571428,117.5,38,1
Bán,Quận 12,Nhà ở,79000000,60,287,4
