feature,%IncMSE,IncNodePurity
district_category_price_encoded,52.744495941067484,3663.5637358208346
log_area,45.210684628010746,3618.7925007101753
area,44.15691747757179,3505.6899844831637
district_name,48.05247279146597,1625.541210913935
ward_price_encoded,60.63859261527277,1399.5410595732603
district_price_encoded,30.60892435246172,903.5631710673149
rooms,38.36428257775991,882.5817918373846
inferred_rooms,38.59071633255779,867.0962769308472
distance_to_center,48.71499186864977,851.8463440373285
source_category_price_encoded,21.493722507360665,791.2415503067344
frontage_width_m,16.99045406059116,524.8617123660605
title_has_frontage,55.327387090898235,396.38662129745796
title_token_count,40.34934597487544,307.71051837929696
category_name,46.458507373016715,281.44733820710564
posted_wday,50.412596399356694,244.030906340894
source,22.364469322131132,221.8295736009486
listing_age_days,39.020875336718234,146.06536714183738
inferred_floors,20.56967064581307,139.46462839242983
source_price_encoded,16.164103274390737,124.16044849119115
category_price_encoded,25.651998772851226,103.73887798246423
frontage_length_m,14.691814438812257,93.47539008332306
frontage_ratio,22.285682374420116,83.58611557446156
title_has_alley,35.85769581318108,52.47091019618968
title_has_corner,13.515168981308085,33.20374953437471
title_has_car_access,26.244592274411747,32.071521845743206
posted_hour,10.073062352476082,28.819476977107385
title_has_furnished,12.089907424315053,26.4944375273253
title_has_income_info,5.861252689272552,19.78571191332142
title_has_legal,8.710070268444607,14.000641463985074
title_has_elevator,8.161828130600135,7.474477368582186
