transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Bán,Huyện Bình Chánh,Căn hộ/Chung cư,44166666.666666664,65,86,4
Bán,Huyện Bình Chánh,Đất,16000000,108,77,4
Bán,Huyện Bình Chánh,Nhà ở,26250000,85.4,33,4
Bán,Huyện Cần Giờ,Đất,25255102.040816326,538,12,3
Bán,Huyện Củ Chi,Đất,3960198.01980198,225.5,244,2
Bán,Huyện Củ Chi,Nhà ở,10666666.666666666,190,7,4
Bán,Huyện Hóc Môn,Đất,31943430.656934306,127.5,128,2
Bán,Huyện Hóc Môn,Nhà ở,46445887.44588745,99,44,4
Bán,Huyện Nhà Bè,Căn hộ/Chung cư,43597338.01374872,84.5,64,4
Bán,Huyện Nhà Bè,Đất,40359281.43712575,120,32,4
Bán,Huyện Nhà Bè,Nhà ở,77633232.7802916,67,26,4
Bán,Quận 1,Căn hộ/Chung cư,125786559.0772298,40,11,1
Bán,Quận 1,Nhà ở,242105263.15789473,38,11,1
Bán,Quận 10,Căn hộ/Chung cư,102307692.3076923,79,29,4
Bán,Quận 10,Nhà ở,203216069.59060103,36.149950000000004,42,1
Bán,Quận 11,Căn hộ/Chung cư,56875750.30012005,66,16,4
Bán,Quận 11,Nhà ở,158695652.17391303,46,5,1
Bán,Quận 12,Căn hộ/Chung cư,45384615.384615384,62,47,4
Bán,Quận 12,Đất,59470108.69565217,85,136,2
Bán,Quận 12,Nhà ở,80314805.05795574,60,138,2
Bán,Quận 3,Căn hộ/Chung cư,120253164.55696204,72,7,1
Bán,Quận 3,Nhà ở,250000000,35,21,1
Bán,Quận 4,Căn hộ/Chung cư,95933098.59154929,80,16,4
Bán,Quận 4,Nhà ở,220000000,35,11,1
Bán,Quận 5,Căn hộ/Chung cư,60382916.05301914,67.9,31,4
Bán,Quận 5,Nhà ở,279086538.46153843,47.25,14,1
Bán,Quận 6,Căn hộ/Chung cư,59216867.46987952,81.5,18,4
Bán,Quận 6,Nhà ở,137380952.3809524,45.0998,29,1
Bán,Quận 7,Căn hộ/Chung cư,56910569.10569106,72,113,4
Bán,Quận 7,Đất,93023255.81395347,88,29,4
Bán,Quận 7,Nhà ở,104545454.54545456,53,63,4
Bán,Quận 8,Căn hộ/Chung cư,45070422.535211265,71,75,4
Bán,Quận 8,Đất,157812500,88.75,14,1
Bán,Quận 8,Nhà ở,128000000,40,49,1
Bán,Quận Bình Tân,Căn hộ/Chung cư,45119047.61904762,63.5,70,4
