feature,%IncMSE,IncNodePurity
district_name,15.423276950604627,56.01488810232278
ward_price_encoded,14.419578498707143,44.11093149083058
area,9.724857373891888,21.615194290436893
category_name,8.526700982520055,17.063012048256816
listing_age_days,6.502915305559125,9.55863211657143
posted_wday,5.741435922733494,9.082540213863725
rooms,6.414393631465795,8.044963102815027
distance_to_center,3.704302878153252,2.9309624368305385
posted_hour,4.357830531655242,2.275619938510108
source,4.207666259135823,1.161745543386217
