segment,model,split_type,train_rows,test_rows,rmse_vnd,mae_vnd,mape,median_ape,p90_ape,r2
sale,Linear Regression,stratified_random_by_source,11652,2914,20238036979.864227,6538881295.569006,0.40168918359299766,0.27037662349303443,0.7685807173841617,0.659328885366461
sale,Random Forest,stratified_random_by_source,11652,2914,18208464595.107792,5554621181.382724,0.31316887255586257,0.1905731390823478,0.6361015565486914,0.7242311593901121
sale,XGBoost,stratified_random_by_source,11652,2914,16980460738.086395,5257192995.09616,0.30225003337570955,0.19933405706385343,0.6052323838612516,0.7601733278846706
sale,RF + XGBoost Ensemble,stratified_random_by_source,11652,2914,17505487393.48047,5351165275.150061,0.3023636247050853,0.18962528732026585,0.6171505422641775,0.7451134286927128
sale,Tuned RF/XGBoost Ensemble,stratified_random_by_source,11652,2914,17214886681.784527,5291395382.768356,0.30090354316803514,0.19392518334686903,0.6026684809774525,0.7535057018354431
rent,Linear Regression,stratified_random_by_source,11806,2954,60471991.42409851,25409254.38010043,0.4608215400616406,0.27752009460966676,0.8813119530285985,0.6428015415774448
rent,Random Forest,stratified_random_by_source,11806,2954,58019434.41700302,22509483.784929495,0.3327104057533615,0.2104173415286375,0.6937182630394328,0.6711877293201953
rent,XGBoost,stratified_random_by_source,11806,2954,55839308.552885056,21930872.296485227,0.3338880616530275,0.22609869500425822,0.6843628603828387,0.6954342253956906
rent,RF + XGBoost Ensemble,stratified_random_by_source,11806,2954,56554512.000194125,21949241.224702988,0.32692202624686945,0.2152656978918937,0.6802599840553409,0.6875823559883149
rent,Tuned RF/XGBoost Ensemble,stratified_random_by_source,11806,2954,56554512.000194125,21949241.224702988,0.32692202624686945,0.2152656978918937,0.6802599840553409,0.6875823559883149
