feature,%IncMSE,IncNodePurity
log_area,24.46552662942137,5840.192593881406
area,24.213870867347055,5499.163344477307
area_band,13.275556330609547,2478.5448046066463
floor_area_proxy,19.46090918090714,2236.5182301490026
log_floor_area_proxy,18.140916727917222,2050.692335340298
room_density,18.28712043205258,916.6875522025261
district_name,135.81484082551034,824.7774758597094
district_model_category_price_encoded,58.39938454039443,731.0435582610987
area_per_room,18.778561992289124,564.5907411328261
model_category,34.86686456612015,480.1088361762737
district_category_price_encoded,47.893990297649275,478.11712150136367
log_area_per_room,20.871374967157905,448.672590475165
model_category_price_encoded,23.201624514720052,373.3437763779554
title_token_count,65.39356652070889,286.1841369218068
inferred_rooms,31.23351253198182,224.21090914334633
district_price_encoded,51.786770736530826,185.25898326849563
category_name,36.33734684701526,180.8855929436934
rooms,26.71257316531487,174.02474527065755
title_has_frontage,54.01351715383526,131.0144847851069
source_category_price_encoded,26.993387346807392,96.6687764294166
title_has_corner,36.414297391488546,93.42909148755274
category_price_encoded,16.657217926598115,73.06771319750509
frontage_ratio,20.185716324185357,72.79564713324
frontage_width_m,26.09719802580936,67.80008645592844
inferred_floors,23.355606298056774,60.02672451634654
frontage_length_m,13.44464183632078,55.369248754932165
posted_wday,31.08176938619198,49.08900979558662
listing_age_days,31.352610650213407,48.330590576892675
title_has_luxury,31.37397695428064,43.354107738787334
ward_price_encoded,30.092052827660034,39.54065987125568
log_distance_to_center,30.017749181746623,39.23709504244907
source,23.054784934623385,39.01453073722101
distance_to_center,29.201901799239522,38.819961902313
source_price_encoded,22.503762006013076,35.54171967913371
title_has_furnished,53.76358510503093,35.44725950787707
title_has_urgent,21.33979741898579,32.73978617934489
title_has_business,19.795259776466402,32.66530004750521
title_has_income_info,32.85558344282633,30.27645964283531
title_has_building,16.49303231540459,27.541416505094247
title_has_alley,30.65136785286117,26.946344524476903
title_has_room_signal,14.0510849552765,25.877861639047474
title_has_land_signal,7.177332202051872,12.940026419999434
title_has_elevator,13.55704381037513,12.747861569058115
title_has_apartment_signal,11.424119662295356,12.283821609548623
distance_band,18.815861700241214,10.28312028839213
title_has_car_access,17.203218780342823,10.093438848512854
posted_hour,11.370188443236692,8.733736308362635
title_has_legal,0,0
