segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,alonhadat,Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 830Triệu - 120m2,830000000,120,6916666.666666667,Huyện Bình Chánh,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"CĂN HỘ CỦA SỰ ĐẲNG CẤP - BASON QUẬN 1 - 129M2 - 3PN CHỈ 55,5 TỶ",55500000000,119,466386554.6218488,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,BÁN CHUNG CƯ GRAND MARINA SAIGON TẦNG CAO VIEW SÔNG 2PN 2WC,31000000000,88,352272727.27272725,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán căn hộ 70m2 mặt tiền Lê Lợi, Quận 1",25000000000,70,357142857.14285713,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,CHỈ CHƯA ĐẾN 2 TỶ BẠN ĐÃ CÓ NGAY 1.500M2 ĐẤT CẦN GIỜ,1990000000,1500,1326666.6666666667,Huyện Cần Giờ,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,BÁN ĐẤT NÔNG NGHIỆP XÃ BÌNH KHÁNH,850000000,672,1264880.9523809524,Huyện Cần Giờ,Đất,Đất/đất nền
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,bán căn hồ Lê Thành Tân Tạo,750000000,34,22058823.529411763,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán lô Đất hiếm gần Mặt Tiền Bình Lợi p.13 BT, 5x20m. Giá rẻ bất ngờ",13600000000,10,1360000000,Quận Bình Thạnh,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà mới xây mặt tiền đường QL50 vào 100m GIÁ 1 TỶ 270 TRIỆU,1270000000,200,6350000,Huyện Bình Chánh,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"BÁN GẤP CĂN HỘ RUBY TÂN BÌNH, 22m2, CÔNG CHỨNG VI BẰNG, Ở NGAY",899000000,22,40863636.36363637,Quận Tân Bình,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Bán CHDV 7 tầng TM 25 phòng KK dòng tiền 1.5 tỷ/năm,29000000000,66.65,435108777.19429857,Quận Tân Bình,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,BÁN NHÀ MẶT TIỀN NAM KỲ KHỞI NGHĨA – QUẬN 3,60000000000,68.4,877192982.4561403,Quận 3,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,chính chủ gửi bán đất mt đường trần khắc chân quận 1,350000000000,571,612959719.7898424,Quận 1,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Mặt Tiền Bến Nghé Quận 1 - [5 x 21m] Lê Văn Hưu,169000000000,105,1609523809.5238094,Quận 1,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"NHẬN GIỚI THIỆU NHÀ ĐẤT,CHUNG CƯ,MẶT BẰNG,KHO XƯỞNG HÓC MÔN",1400000000,50,28000000,Huyện Hóc Môn,Nhà ở,Tòa nhà/văn phòng/mặt bằng
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,KẸT TIỀN BÁN NHANH 404m² ĐẤT PHONG PHÚ - BÌNH CHÁNH,399000000,404,987623.7623762375,Huyện Bình Chánh,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,CTL 2 phòng ngủ cần bán dt77m2 giá 3.8 tỷ,3800000000,772,4922279.792746114,Quận 12,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần Tiền Bán Rẻ Căn Hộ 1 PN Gần Chợ - Thang Bộ,650000000,46,14130434.782608695,Quận 12,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Chủ cần gả gấp căn nhà 100,5m2 Tân Thông Hội Củ Chi",900000000,133,6766917.293233083,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Nhà giá Tốt kế Thị trấn Củ Chi. Diện tích 111,3m2",900000000,118,7627118.644067797,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
