segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,alonhadat,"KTX mới đẹp Bình Thạnh ngay DH Văn Lang, chỉ 1.5tr/tháng bao trọn gói",1500000,80,18750,Quận Bình Thạnh,Văn phòng/Mặt bằng,Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,SANG NHƯỢNG QUÁN HỦ TIẾU ĐANG HOẠT ĐỘNG TỐT – TÂN PHÚ,100000000,35,2857142.8571428573,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Sang Tiệm Kinh Doanh Giặt Ủi CS 2,115000000,32,3593750,Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần Sang Nhượng Cửa Hàng Điện Nước Gia Dụng,230000000,50,4600000,Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,SANG QUÁN CAFE – ĐỒ ĂN SÁNG NGAY SẢNH CHUNG CƯ,250000000,85,2941176.470588235,Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Sang Gấp Quán Phở Mặt Tiền Phạm Văn Hai P.1 Tân Bình - Giá 135Tr, Thuê",135000000,40,3375000,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Sang nhượng mặt bằng kinh doanh trà sữa tại Tân Bình,122200000,43,2841860.465116279,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần sang lại 2 căn hộ dịch vụ (gồm 12 phòng),450000000,140,3214285.714285714,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,Nắm full giỏ hàng cho thuê Empire City 1PN- 2PN- 3PN- 4PN mới nhất. Vă,200000000,230,869565.2173913043,Thành phố Thủ Đức,Căn hộ,Căn hộ
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,"Hiếm-cho thuê nhà Trần Quang Khải,Quận 1.Ngang 5m-Giá chỉ 48 triệu",48000000,1110,43243.24324324324,Quận 1,Nhà phố,Nhà phố/nhà ở
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,"BĐS HUNGVILAND[NC] Tòa số 9 Võ Thị Sáu Q1, 5x20m có PCCC kết cấu 6T",180000000,100,1800000,Quận 1,Phòng/Cho thuê,Phòng trọ
Cho thuê,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,mogi,Cho thuê Tòa nhà hạng A trung tâm Hcm làm khách sạn cao cấp Q3,1400000000,2783,503054.25799496943,Quận 3,Phòng/Cho thuê,Tòa nhà/văn phòng/mặt bằng
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,Cho Thuê Biệt Thự 1000 m2 (10x100) mặt tiền đường Dương Công Khi,25000000,1000,25000,Huyện Hóc Môn,Biệt thự,Biệt thự/cao cấp
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,"Cho thuê căn hộ ngắn hạn & dài hạn – vào ở ngay, PMH, Q7",3000000,127,23622.047244094487,Quận 7,Căn hộ,Căn hộ
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,"Căn hộ CHO THUÊ đầy đủ nội thất, thuê ngày hoặc tháng, giá tốt",1800000,127,14173.228346456694,Quận 7,Căn hộ,Căn hộ
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,"Căn hộ cho thuê linh hoạt theo ngày hoặc theo tháng, Gía rẻ 2tr. 1,8tr",2000000,127,15748.031496062991,Quận 7,Căn hộ,Căn hộ
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,Cho thuê căn hộ ngắn hạn & dài hạn –vào ở ngay 3 phòng ngủ Giá 2tr/th,2000000,100,20000,Quận 7,Căn hộ,Căn hộ
Cho thuê,Ngoại lệ giá/m² theo nhóm sản phẩm,mogi,Cần cho thuê căn hộ đầy đủ nội thất – bao chi phí Thuê ngày hoặc tháng,1800000,127,14173.228346456694,Quận 7,Căn hộ,Căn hộ
