segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
sale,Tuned RF/XGBoost Ensemble,520000000.0000001,824661601.6506464,304661601.6506463,0.585887695482012,chotot,Huyện Củ Chi,Đất,Đất/đất nền,Xã Tân Thông Hội,100,4,5200000
sale,Tuned RF/XGBoost Ensemble,750000000.0000004,836941054.2926213,86941054.2926209,0.11592140572349448,chotot,Huyện Củ Chi,Đất,Đất/đất nền,Xã Tân Phú Trung,327,4,2293577.981651376
sale,Tuned RF/XGBoost Ensemble,539999999.9999995,1752164646.7783444,1212164646.7783449,2.244749345885826,chotot,Huyện Bình Chánh,Đất,Đất/đất nền,Xã Quy Đức,46,4,11739130.43478261
sale,Tuned RF/XGBoost Ensemble,12999999999.999989,26318851201.43074,13318851201.430752,1.0245270154946742,chotot,Huyện Hóc Môn,Đất,Đất/đất nền,Xã Đông Thạnh,5000,4,2600000
sale,Tuned RF/XGBoost Ensemble,15999999999.999983,14096299602.103468,1903700397.896515,0.11898127486853231,chotot,Thành phố Thủ Đức,Đất,Đất/đất nền,Phường Phước Long B (Quận 9 cũ),140,4,114285714.28571428
sale,Tuned RF/XGBoost Ensemble,3190000000.0000024,2866136434.4722366,323863565.52776575,0.1015246286920895,chotot,Thành phố Thủ Đức,Căn hộ/Chung cư,Căn hộ,Phường Linh Tây (Quận Thủ Đức cũ),56,2,56964285.71428572
sale,Tuned RF/XGBoost Ensemble,2949999999.999995,2825451455.506874,124548544.49312115,0.042219845590888594,chotot,Quận Tân Phú,Căn hộ/Chung cư,Căn hộ,Phường Hòa Thạnh,50,1,59000000
sale,Tuned RF/XGBoost Ensemble,2949999999.999995,5408545249.252951,2458545249.2529554,0.8334051692382913,chotot,Quận Tân Phú,Căn hộ/Chung cư,Căn hộ,Phường Phú Thạnh,90,3,32777777.777777776
sale,Tuned RF/XGBoost Ensemble,3899999999.9999948,3182677195.4650984,717322804.5348964,0.18392892423971727,chotot,Quận 7,Căn hộ/Chung cư,Căn hộ,Phường Phú Thuận,49,1,79591836.73469388
sale,Tuned RF/XGBoost Ensemble,3099999999.9999986,2807789024.042801,292210975.95719767,0.09426160514748316,chotot,Huyện Bình Chánh,Căn hộ/Chung cư,Căn hộ,Xã Phong Phú,65,2,47692307.692307696
sale,Tuned RF/XGBoost Ensemble,10299999999.999994,10997989938.045605,697989938.0456104,0.06776601340248649,luachonnhadat,Quận Bình Tân,Đất,Đất/đất nền,Không rõ,112,4,91964285.71428572
sale,Tuned RF/XGBoost Ensemble,12299999999.999998,12171128792.020903,128871207.97909546,0.010477333982040283,luachonnhadat,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,80,4,153750000
sale,Tuned RF/XGBoost Ensemble,10500000000,4737122857.185983,5762877142.814017,0.5488454421727635,alonhadat,Quận Bình Thạnh,Căn hộ/Chung cư,Căn hộ,Phường Thạnh Mỹ Tây,77,2,136363636.36363637
sale,Tuned RF/XGBoost Ensemble,4730000000.000002,4731108292.301829,1108292.3018274307,2.343112688852918e-4,alonhadat,Quận Tân Bình,Nhà ở,Nhà phố/nhà ở,Phường Tân Sơn Nhất,61,3,77540983.60655738
sale,Tuned RF/XGBoost Ensemble,9800000000.000006,6972871147.730001,2827128852.2700043,0.28848253594591866,alonhadat,Quận 10,Nhà ở,Nhà phố/nhà ở,Phường Hòa Hưng,41,6,239024390.24390244
sale,Tuned RF/XGBoost Ensemble,3099999999.9999986,3845948236.335771,745948236.3357725,0.24062846333412027,alonhadat,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Hiệp Bình,52,3,59615384.615384616
sale,Tuned RF/XGBoost Ensemble,5199999999.999992,6090683869.89483,890683869.8948374,0.17128535959516128,alonhadat,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Hiệp Bình,80,3,65000000
sale,Tuned RF/XGBoost Ensemble,2349999999.9999967,3127277114.5716233,777277114.5716267,0.33075621896665014,alonhadat,Quận Gò Vấp,Nhà ở,Nhà phố/nhà ở,Phường Thông Tây Hội,42,2,55952380.952380955
sale,Tuned RF/XGBoost Ensemble,13799999999.99998,11419158869.68005,2380841130.319931,0.17252471958840104,alonhadat,Quận Tân Bình,Nhà ở,Nhà phố/nhà ở,Phường Tân Bình,60,4,230000000
sale,Tuned RF/XGBoost Ensemble,3249999999.9999995,3495649956.229041,245649956.22904158,0.07558460191662819,alonhadat,Quận Phú Nhuận,Nhà ở,Nhà phố/nhà ở,Phường Phú Nhuận,60,3,54166666.666666664
sale,Tuned RF/XGBoost Ensemble,6589999999.999993,7771051004.99058,1181051004.9905863,0.17921866540069611,alonhadat,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Linh Xuân,73,3,90273972.60273972
sale,Tuned RF/XGBoost Ensemble,5989999999.999991,5246251318.790149,743748681.2098427,0.12416505529379696,luachonnhadat,Quận 6,Nhà phố,Nhà phố/nhà ở,Không rõ,37,4,161891891.8918919
sale,Tuned RF/XGBoost Ensemble,6500000000.000007,6002041956.77074,497958043.2292671,0.07660892972757948,luachonnhadat,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,72,4,90277777.77777778
sale,Tuned RF/XGBoost Ensemble,4800000000.000005,6732744290.130198,1932744290.1301928,0.40265506044378974,luachonnhadat,Quận Bình Tân,Đất,Đất/đất nền,Không rõ,81,4,59259259.25925926
sale,Tuned RF/XGBoost Ensemble,90000000000.00009,72388888018.69858,17611111981.301514,0.19567902201446105,luachonnhadat,Quận Bình Tân,Biệt thự,Biệt thự/cao cấp,Không rõ,540,4,166666666.66666666
sale,Tuned RF/XGBoost Ensemble,11999999999.999998,10500956803.50131,1499043196.4986877,0.12492026637489066,luachonnhadat,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,80,4,150000000
sale,Tuned RF/XGBoost Ensemble,6749999999.999994,4657358605.389914,2092641394.6100807,0.31002094734964186,luachonnhadat,Quận 8,Nhà phố,Nhà phố/nhà ở,Không rõ,49,4,137755102.04081634
sale,Tuned RF/XGBoost Ensemble,23499999999.999985,18169455044.21493,5330544955.785053,0.22683170024617264,luachonnhadat,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,126,4,186507936.5079365
sale,Tuned RF/XGBoost Ensemble,3800000000.0000014,3927023866.3174143,127023866.31741285,0.033427333241424426,luachonnhadat,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,32,4,118750000
sale,Tuned RF/XGBoost Ensemble,9600000000.000006,8712633868.481068,887366131.5189381,0.09243397203322266,chotot,Quận 7,Đất,Đất/đất nền,Phường Phú Thuận,172,4,55813953.488372095
