segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
rent,RF + XGBoost Ensemble,24000000,19561505.899140753,4438494.100859247,0.18493725420246862,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,82,2,292682.9268292683
rent,RF + XGBoost Ensemble,25999999.999999985,34650074.28168852,8650074.281688534,0.3326951646803284,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,125,3,208000
rent,RF + XGBoost Ensemble,16000000.000000026,17250938.284287326,1250938.2842873,0.07818364276795613,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,70,2,228571.42857142855
rent,RF + XGBoost Ensemble,16000000.000000026,15844612.9025097,155387.09749032557,0.009711693593145332,mogi,Quận Phú Nhuận,Căn hộ,Căn hộ,Không rõ,75,2,213333.33333333337
rent,RF + XGBoost Ensemble,24000000,22749934.83295389,1250065.167046111,0.052086048626921296,mogi,Quận 7,Căn hộ,Căn hộ,Không rõ,110,2,218181.81818181815
rent,RF + XGBoost Ensemble,30000000.00000005,23171166.699219167,6828833.300780881,0.22762777669269568,mogi,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,100,4,300000
rent,RF + XGBoost Ensemble,35000000.000000015,22904086.117132653,12095913.882867362,0.34559753951049593,mogi,Quận Bình Tân,Phòng/Cho thuê,Phòng trọ,Không rõ,100,3,350000
rent,RF + XGBoost Ensemble,39000000.00000001,24778696.03673289,14221303.963267118,0.3646488195709517,mogi,Quận 3,Nhà phố,Nhà phố/nhà ở,Không rõ,45,1,866666.6666666666
rent,RF + XGBoost Ensemble,30000000.00000005,23856475.25248679,6143524.747513257,0.20478415825044158,mogi,Quận 3,Nhà phố,Nhà phố/nhà ở,Không rõ,60,1,500000
rent,RF + XGBoost Ensemble,30000000.00000005,36753251.01963412,6753251.019634072,0.22510836732113537,mogi,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,200,1,150000
rent,RF + XGBoost Ensemble,22000000.000000007,21294320.7394752,705679.2605248056,0.03207633002385479,mogi,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,53,7,415094.3396226415
rent,RF + XGBoost Ensemble,16000000.000000026,20615363.33813178,4615363.338131756,0.28846020863323424,mogi,Quận Bình Tân,Nhà phố,Nhà phố/nhà ở,Không rõ,99,5,161616.1616161616
rent,RF + XGBoost Ensemble,2700000,4046371.127262107,1346371.127262107,0.49865597306003967,mogi,Quận 3,Phòng/Cho thuê,Phòng trọ,Không rõ,18,0,150000
rent,RF + XGBoost Ensemble,20000000.000000015,32229402.590554047,12229402.590554032,0.6114701295277012,mogi,Thành phố Thủ Đức,Phòng/Cho thuê,Tòa nhà/văn phòng/mặt bằng,Không rõ,88,0,227272.7272727273
rent,RF + XGBoost Ensemble,85000000.00000004,72001613.65949512,12998386.34050493,0.15292219224123438,mogi,Thành phố Thủ Đức,Phòng/Cho thuê,Tòa nhà/văn phòng/mặt bằng,Không rõ,160,0,531250
