metric,group,transaction_type,n,mean_value,ci_low,ci_high,district_name
gia_niem_yet,Bán,Bán,14975,7632559398.982677,7488317428.467184,7779579796.862417,NA
gia_niem_yet,Cho thuê,Cho thuê,15144,25611195.072405227,25064363.079540946,26169957.359111033,NA
gia_ban_m2,Thành phố Thủ Đức,NA,1847,80094357.48892266,77778900.44868565,82478745.06437324,Thành phố Thủ Đức
gia_ban_m2,Quận Bình Tân,NA,1222,84735885.67429297,82074964.4703249,87483075.59142044,Quận Bình Tân
gia_ban_m2,Quận Bình Thạnh,NA,1102,124522459.51661116,119208910.41866398,130072851.68006659,Quận Bình Thạnh
gia_ban_m2,Quận 7,NA,990,88453006.33535753,85099545.49995993,91938614.75598992,Quận 7
gia_ban_m2,Quận Tân Bình,NA,914,134516871.351236,128395389.95028327,140930205.3978707,Quận Tân Bình
gia_ban_m2,Quận 12,NA,870,61049400.99108874,59083653.87429132,63080549.64297093,Quận 12
gia_ban_m2,Quận Gò Vấp,NA,859,95531811.99318953,91855754.54086685,99354984.86918062,Quận Gò Vấp
gia_ban_m2,Quận 1,NA,763,351985867.6709366,331891024.423978,373297383.5429051,Quận 1
gia_ban_m2,Quận Tân Phú,NA,707,83989161.81607553,80280357.99928012,87869305.49635611,Quận Tân Phú
gia_ban_m2,Quận 3,NA,624,260776296.23793688,245827301.23107815,276634354.0286561,Quận 3
gia_ban_m2,Quận 10,NA,601,144799250.23062047,135998168.57127652,154169891.30843765,Quận 10
gia_ban_m2,Quận Phú Nhuận,NA,548,153153656.27318174,143810600.67060032,163103709.46132967,Quận Phú Nhuận
gia_ban_m2,Huyện Bình Chánh,NA,510,29227220.9214898,27176803.40115804,31432336.98347587,Huyện Bình Chánh
gia_ban_m2,Huyện Củ Chi,NA,503,5546916.437687477,5141875.6682809265,5983863.461457048,Huyện Củ Chi
gia_ban_m2,Huyện Nhà Bè,NA,501,56464917.652113825,53672602.126008414,59402503.30754432,Huyện Nhà Bè
gia_ban_m2,Quận 8,NA,500,72751055.59850183,68493007.95370561,77273815.94934385,Quận 8
gia_ban_m2,Quận 6,NA,433,110270639.03317939,103778659.04859261,117168731.4507128,Quận 6
gia_ban_m2,Huyện Hóc Môn,NA,423,31127864.200748008,29108725.479325004,33287061.30566798,Huyện Hóc Môn
gia_ban_m2,Quận 4,NA,352,86326488.70982674,80828885.96365291,92198012.67513512,Quận 4
gia_ban_m2,Quận 5,NA,313,129106115.3586165,116587338.4477622,142969118.63303715,Quận 5
gia_ban_m2,Quận 11,NA,308,102680067.41702345,95479861.58684787,110423246.00179152,Quận 11
gia_ban_m2,Huyện Cần Giờ,NA,83,18218842.223936964,13849466.81615057,23966714.026502155,Huyện Cần Giờ
bootstrap_trung_vi_gia_m2,Bán - Thành phố Thủ Đức,NA,1847,79012345.67901234,76190476.1904762,82000832.47950819,NA
bootstrap_trung_vi_gia_m2,Bán - Quận Bình Tân,NA,1222,91137555.57330352,87582847.22222224,94607843.1372549,NA
bootstrap_trung_vi_gia_m2,Bán - Quận Bình Thạnh,NA,1102,136181818.1818182,130865297.7811709,140957446.80851063,NA
bootstrap_trung_vi_gia_m2,Bán - Quận 7,NA,990,88074074.07407407,84925245.09803921,91428145.16129032,NA
bootstrap_trung_vi_gia_m2,Bán - Quận Tân Bình,NA,914,154833333.3333333,142857142.85714287,163397435.8974359,NA
bootstrap_trung_vi_gia_m2,Bán - Quận 12,NA,870,61143790.849673204,59003893.44262295,63574517.81507656,NA
bootstrap_trung_vi_gia_m2,Bán - Quận Gò Vấp,NA,859,103333333.33333331,100000000,107317073.17073172,NA
bootstrap_trung_vi_gia_m2,Bán - Quận 1,NA,763,380952380.95238096,352380952.38095236,402316176.47058815,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Thành phố Thủ Đức,NA,2738,214285.7142857143,204327.79276632116,220000,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận 7,NA,2048,250714.28571428574,247953.35661812936,257657.76319900027,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận Bình Thạnh,NA,1391,239436.61971830987,233333.33333333337,250000,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận Tân Bình,NA,1320,200000,190226.19047619047,200530.30303030298,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận 1,NA,1249,400000,389416.6666666666,436209.2391304347,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận 3,NA,1021,323529.4117647059,308641.97530864197,336201.12414467253,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận 10,NA,879,270833.3333333333,260000,280000,NA
bootstrap_trung_vi_gia_m2,Cho thuê - Quận Phú Nhuận,NA,837,281250,275000,291666.6666666667,NA
