transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,mogi,Thành phố Thủ Đức,Phòng/Cho thuê,1401,40000000,160,200000
Cho thuê,mogi,Quận 7,Căn hộ,952,24000000,98,241758.24175824175
Cho thuê,mogi,Thành phố Thủ Đức,Biệt thự,753,75000000,300,240000
Cho thuê,mogi,Quận 1,Phòng/Cho thuê,634,90000000,199.5,345454.54545454547
Cho thuê,mogi,Quận Bình Thạnh,Phòng/Cho thuê,619,12000000,45,200000
Cho thuê,mogi,Quận Tân Bình,Phòng/Cho thuê,593,17000000,70,169642.85714285713
Cho thuê,mogi,Quận 7,Biệt thự,495,47000000,200,277777.77777777775
Cho thuê,mogi,Quận 3,Phòng/Cho thuê,447,70000000,200,325000
Cho thuê,mogi,Quận Bình Thạnh,Nhà phố,404,23000000,76,333333.3333333333
Bán,chotot,Thành phố Thủ Đức,Đất,350,5765000000,86,68184659.0909091
Cho thuê,mogi,Quận 1,Nhà phố,347,65000000,100,633333.3333333334
Cho thuê,mogi,Quận Phú Nhuận,Nhà phố,346,30000000,98.5,331140.350877193
Bán,chotot,Huyện Củ Chi,Đất,344,800000000,224,3994134.897360704
Bán,chotot,Thành phố Thủ Đức,Căn hộ/Chung cư,331,3600000000,68,57288135.59322034
Cho thuê,mogi,Quận Tân Bình,Nhà phố,321,30000000,104,300000
Cho thuê,mogi,Quận 3,Nhà phố,312,36000000,100,398412.6984126984
Cho thuê,mogi,Quận 10,Nhà phố,308,33000000,90,375000
Cho thuê,mogi,Quận 10,Phòng/Cho thuê,306,19000000,100,200000
Cho thuê,mogi,Quận 7,Phòng/Cho thuê,295,25000000,106,222222.22222222225
Bán,mogi,Thành phố Thủ Đức,Nhà phố,285,10400000000,94,115000000
Bán,luachonnhadat,Quận Bình Tân,Nhà phố,277,9000000000,80,124050632.9113924
Cho thuê,mogi,Quận Tân Bình,Căn hộ,273,8000000,40,165714.2857142857
Bán,mogi,Thành phố Thủ Đức,Đất nền,266,8850000000,105,80075976.71752359
Cho thuê,mogi,Quận Tân Phú,Phòng/Cho thuê,263,3800000,30,133333.33333333334
Cho thuê,mogi,Quận Phú Nhuận,Phòng/Cho thuê,258,25000000,100,250000
Bán,mogi,Quận 3,Nhà phố,257,35000000000,100,324074074.0740741
Bán,chotot,Quận 12,Nhà ở,253,4890000000,60,78571428.57142857
Cho thuê,luachonnhadat,Quận Bình Tân,Nhà phố,251,26000000,100,277777.77777777775
Cho thuê,mogi,Thành phố Thủ Đức,Nhà phố,243,39000000,100,340000
Cho thuê,mogi,Quận Gò Vấp,Phòng/Cho thuê,239,4300000,35,152000
Bán,chotot,Quận 12,Đất,237,4950000000,84,58333333.333333336
Bán,mogi,Quận Bình Thạnh,Nhà phố,232,8745000000,72,157297979.7979798
Bán,chotot,Quận Bình Tân,Nhà ở,231,5550000000,60,95238095.23809524
Bán,chotot,Quận Gò Vấp,Nhà ở,225,6200000000,54.5,119873817.03470032
Bán,chotot,Huyện Hóc Môn,Đất,217,4600000000,140,29591836.734693877
