district_name,category_name,listings,median_price_m,median_area,median_price_per_m2
Huyện Củ Chi,Đất,240,799.5,225,3960198.01980198
Thành phố Thủ Đức,Đất,234,5600,80,67059947.299077734
Thành phố Thủ Đức,Căn hộ/Chung cư,226,3575,68,55795326.78317131
Quận 12,Nhà ở,128,4775,60,79395368.78216124
Quận 12,Đất,127,4900,84.5998,60209424.083769634
Huyện Hóc Môn,Đất,124,4600,127.5,31943430.656934306
Quận 7,Căn hộ/Chung cư,106,4300,72,58452380.952380955
Quận Gò Vấp,Nhà ở,104,6350,55,119558823.52941176
Quận Bình Tân,Nhà ở,95,5900,66,82208588.95705521
Huyện Bình Chánh,Căn hộ/Chung cư,85,3000,65,44166666.666666664
Thành phố Thủ Đức,Nhà ở,85,6200,66.8,90566037.73584905
Quận 8,Căn hộ/Chung cư,72,3070,71.75,45035211.26760563
Huyện Bình Chánh,Đất,71,2700,108,16000000
Quận Bình Tân,Đất,67,4500,80,65254237.288135596
Quận Tân Phú,Nhà ở,67,7000,60,117500000
Quận Bình Tân,Căn hộ/Chung cư,65,2750,64,45238095.23809524
Quận Bình Thạnh,Căn hộ/Chung cư,64,3820,62,68421052.63157895
Huyện Nhà Bè,Căn hộ/Chung cư,62,4550,84.09995,42531446.5408805
Quận 7,Nhà ở,61,6100,53,103333333.33333333
Quận Tân Phú,Căn hộ/Chung cư,59,4200,70,58433734.93975904
Quận Tân Bình,Nhà ở,57,7900,56,141025641.02564102
Quận Bình Thạnh,Nhà ở,52,6990,49,161410256.41025642
Quận 12,Căn hộ/Chung cư,47,2750,62,45384615.384615384
Quận 8,Nhà ở,47,5500,40,128000000
Huyện Hóc Môn,Nhà ở,41,4200.000008,96,47439759.03614458
Quận 10,Nhà ở,38,8250,36,208461785.04162604
Quận Tân Bình,Căn hộ/Chung cư,32,4400,66.65,60000000
Huyện Nhà Bè,Đất,30,5500,120,40766129.03225806
Quận 5,Căn hộ/Chung cư,30,3950,67.9,60382916.05301914
Quận 10,Căn hộ/Chung cư,29,7300,79,102307692.3076923
Quận 7,Đất,29,9900,88,93023255.81395349
Huyện Bình Chánh,Nhà ở,28,2575,85.1,27553482.587064676
Quận 6,Nhà ở,26,5425,47.0499,139880952.3809524
Quận Phú Nhuận,Căn hộ/Chung cư,26,7150,75,89833333.33333334
Quận Gò Vấp,Căn hộ/Chung cư,25,3900,65,58666666.666666664
Quận Phú Nhuận,Nhà ở,25,8900,42,190140845.07042253
Huyện Nhà Bè,Nhà ở,23,4650,62,77777777.77777778
Quận 6,Căn hộ/Chung cư,18,4825,81.5,59216867.46987952
Quận 3,Nhà ở,17,8500,34,257575757.57575756
Quận Gò Vấp,Đất,17,13000,132,96610169.49152543
Quận 11,Căn hộ/Chung cư,16,4225,66,56875750.30012005
Quận 4,Căn hộ/Chung cư,16,5850,80,95933098.59154929
Quận 8,Đất,14,13600,88.75,157812500
Quận Bình Thạnh,Đất,14,10275,86,127105263.15789473
Huyện Cần Giờ,Đất,12,15043,538,25255102.040816326
Quận 5,Nhà ở,12,17500,42.2,279086538.46153843
Quận 1,Căn hộ/Chung cư,11,4968,40,125786559.0772298
Quận 4,Nhà ở,10,7350,47.5,219375000
Quận 1,Nhà ở,8,7400,33.6,215488215.4882155
Quận Tân Phú,Đất,8,6275,87,77701925.84075883
Huyện Củ Chi,Nhà ở,7,1050,190,10666666.666666666
Quận 3,Căn hộ/Chung cư,7,9300,72,120253164.55696203
Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",6,122.5,80,1479044.1176470588
Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",6,169,83.2,2670370.3703703703
Quận 11,Nhà ở,5,5000,46,158695652.17391303
Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",5,150,78,2222222.222222222
Quận 3,"Văn phòng, Mặt bằng kinh doanh",4,122.5,375,780000
Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",4,117.5,50,2000000
Huyện Hóc Môn,Căn hộ/Chung cư,3,1150,60,19166666.666666668
Huyện Hóc Môn,"Văn phòng, Mặt bằng kinh doanh",3,220,160,1375000
Quận 1,"Văn phòng, Mặt bằng kinh doanh",3,290,80,3750000
Quận 11,"Văn phòng, Mặt bằng kinh doanh",3,200,96,2083333.3333333333
Quận 6,"Văn phòng, Mặt bằng kinh doanh",3,388,44,8818181.818181818
Quận Bình Thạnh,"Văn phòng, Mặt bằng kinh doanh",3,150,60,2173913.0434782607
Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",3,109,100,1850000
Quận 12,"Văn phòng, Mặt bằng kinh doanh",2,165,30,5300000
Quận 6,Đất,2,12950,113.7,97681750.74183977
Quận 7,"Văn phòng, Mặt bằng kinh doanh",2,112.5,17.5,9000000
Quận Tân Bình,Đất,2,24500,187,132487922.70531401
Huyện Cần Giờ,Căn hộ/Chung cư,1,2000,33,60606060.60606061
Huyện Cần Giờ,Nhà ở,1,6300,62,101612903.22580644
Huyện Củ Chi,"Văn phòng, Mặt bằng kinh doanh",1,170,120,1416666.6666666667
Quận 10,"Văn phòng, Mặt bằng kinh doanh",1,195,40,4875000
Quận 4,"Văn phòng, Mặt bằng kinh doanh",1,100,36,2777777.777777778
Quận Phú Nhuận,"Văn phòng, Mặt bằng kinh doanh",1,100,30,3333333.3333333335
