transaction_type,district_name,category_group,listings,median_price_m,median_area,median_price_per_m2
Cho thuê,Thành phố Thủ Đức,Phòng / nhà trọ,1450,40,160,200000
Cho thuê,Quận 7,Căn hộ / chung cư,1025,23,97,241758.24175824175
Cho thuê,Thành phố Thủ Đức,Biệt thự,763,75,300,240000
Cho thuê,Quận 1,Phòng / nhà trọ,685,90,184,360000
Cho thuê,Quận Bình Thạnh,Phòng / nhà trọ,668,12,45,207125
Bán,Quận Bình Tân,Nhà phố / nhà ở,667,7380,71,110317460.31746031
Cho thuê,Quận Tân Bình,Phòng / nhà trọ,625,18,70,174545.45454545456
Bán,Thành phố Thủ Đức,Nhà phố / nhà ở,603,7900,80,102803738.31775701
Bán,Quận Bình Thạnh,Nhà phố / nhà ở,529,7850,60,159523809.52380952
Cho thuê,Quận 7,Biệt thự,500,47,200,277777.77777777775
Cho thuê,Quận 3,Phòng / nhà trọ,495,75,200,327635.32763532765
Bán,Quận Tân Bình,Nhà phố / nhà ở,469,14500,80,183076923.07692307
Cho thuê,Quận Bình Tân,Nhà phố / nhà ở,455,20,90,248000
Bán,Quận Gò Vấp,Nhà phố / nhà ở,454,6300,56,122361111.1111111
Bán,Thành phố Thủ Đức,Căn hộ / chung cư,439,3450,69,55000000
Bán,Quận 3,Nhà phố / nhà ở,431,16230,68.4,276190476.1904762
Cho thuê,Quận Bình Thạnh,Nhà phố / nhà ở,419,22,75,333333.3333333333
Bán,Quận 1,Nhà phố / nhà ở,417,45000,89,400000000
Bán,Quận 7,Căn hộ / chung cư,417,5100,86,65000000
Bán,Quận 12,Nhà phố / nhà ở,388,5400,64,79903846.15384614
Bán,Thành phố Thủ Đức,Đất,374,5875,87.84985,68500000
Cho thuê,Quận Phú Nhuận,Nhà phố / nhà ở,358,30,97,333333.3333333333
Cho thuê,Quận 1,Nhà phố / nhà ở,356,62.5,100,629166.6666666667
Bán,Quận 7,Nhà phố / nhà ở,353,9600,74,120161290.32258065
Bán,Huyện Củ Chi,Đất,341,800,224,3988269.794721408
Cho thuê,Quận 10,Phòng / nhà trọ,335,18,100,200000
Bán,Quận Tân Phú,Nhà phố / nhà ở,329,7290,64,116666666.66666667
Cho thuê,Quận Tân Bình,Nhà phố / nhà ở,329,30,105,300000
Cho thuê,Quận 3,Nhà phố / nhà ở,321,36,100,388888.8888888889
Bán,Quận 10,Nhà phố / nhà ở,318,10750,56,214733893.557423
Cho thuê,Quận 7,Phòng / nhà trọ,318,25.5,106,222222.22222222222
Cho thuê,Quận 10,Nhà phố / nhà ở,316,35,90,375000
Bán,Thành phố Thủ Đức,Đất nền,300,9600,115,81781609.1954023
Cho thuê,Quận Tân Phú,Phòng / nhà trọ,296,3.8,30,135714.2857142857
Bán,Quận Phú Nhuận,Nhà phố / nhà ở,294,9200,55,196031746.03174603
Cho thuê,Quận Phú Nhuận,Phòng / nhà trọ,292,30,100,266595.5934612651
